Year,Bank,Currency,Rate_12M_Pct,Bank_KR
2004,Woori,USD,1.9,우리은행 (Woori Bank)
2005,Woori,USD,3.5,우리은행 (Woori Bank)
2006,Woori,USD,4.9,우리은행 (Woori Bank)
2007,Woori,USD,5.0,우리은행 (Woori Bank)
2008,Woori,USD,2.9,우리은행 (Woori Bank)
2009,Woori,USD,0.7,우리은행 (Woori Bank)
2010,Woori,USD,0.5,우리은행 (Woori Bank)
2011,Woori,USD,0.5,우리은행 (Woori Bank)
2012,Woori,USD,0.6,우리은행 (Woori Bank)
2013,Woori,USD,0.4,우리은행 (Woori Bank)
2014,Woori,USD,0.3,우리은행 (Woori Bank)
2015,Woori,USD,0.5,우리은행 (Woori Bank)
2016,Woori,USD,1.0,우리은행 (Woori Bank)
2017,Woori,USD,1.4,우리은행 (Woori Bank)
2018,Woori,USD,2.3,우리은행 (Woori Bank)
2019,Woori,USD,1.9,우리은행 (Woori Bank)
2004,KDB,USD,2.0,산업은행 (KDB)
2005,KDB,USD,3.6,산업은행 (KDB)
2006,KDB,USD,5.0,산업은행 (KDB)
2007,KDB,USD,5.1,산업은행 (KDB)
2008,KDB,USD,3.0,산업은행 (KDB)
2009,KDB,USD,0.8,산업은행 (KDB)
2010,KDB,USD,0.55,산업은행 (KDB)
2011,KDB,USD,0.55,산업은행 (KDB)
2012,KDB,USD,0.65,산업은행 (KDB)
2013,KDB,USD,0.45,산업은행 (KDB)
2014,KDB,USD,0.35,산업은행 (KDB)
2015,KDB,USD,0.55,산업은행 (KDB)
2016,KDB,USD,1.05,산업은행 (KDB)
2017,KDB,USD,1.45,산업은행 (KDB)
2018,KDB,USD,2.35,산업은행 (KDB)
2019,KDB,USD,1.95,산업은행 (KDB)
2004,Shinhan,USD,1.85,신한은행 (Shinhan Bank)
2005,Shinhan,USD,3.45,신한은행 (Shinhan Bank)
2006,Shinhan,USD,4.85,신한은행 (Shinhan Bank)
2007,Shinhan,USD,4.95,신한은행 (Shinhan Bank)
2008,Shinhan,USD,2.85,신한은행 (Shinhan Bank)
2009,Shinhan,USD,0.65,신한은행 (Shinhan Bank)
2010,Shinhan,USD,0.45,신한은행 (Shinhan Bank)
2011,Shinhan,USD,0.45,신한은행 (Shinhan Bank)
2012,Shinhan,USD,0.55,신한은행 (Shinhan Bank)
2013,Shinhan,USD,0.35,신한은행 (Shinhan Bank)
2014,Shinhan,USD,0.28,신한은행 (Shinhan Bank)
2015,Shinhan,USD,0.48,신한은행 (Shinhan Bank)
2016,Shinhan,USD,0.95,신한은행 (Shinhan Bank)
2017,Shinhan,USD,1.35,신한은행 (Shinhan Bank)
2018,Shinhan,USD,2.25,신한은행 (Shinhan Bank)
2019,Shinhan,USD,1.85,신한은행 (Shinhan Bank)
2004,KEB_Hana,USD,1.95,외환은행/KEB하나은행
2005,KEB_Hana,USD,3.55,외환은행/KEB하나은행
2006,KEB_Hana,USD,4.95,외환은행/KEB하나은행
2007,KEB_Hana,USD,5.05,외환은행/KEB하나은행
2008,KEB_Hana,USD,2.95,외환은행/KEB하나은행
2009,KEB_Hana,USD,0.75,외환은행/KEB하나은행
2010,KEB_Hana,USD,0.52,외환은행/KEB하나은행
2011,KEB_Hana,USD,0.52,외환은행/KEB하나은행
2012,KEB_Hana,USD,0.62,외환은행/KEB하나은행
2013,KEB_Hana,USD,0.42,외환은행/KEB하나은행
2014,KEB_Hana,USD,0.32,외환은행/KEB하나은행
2015,KEB_Hana,USD,0.52,외환은행/KEB하나은행
2016,KEB_Hana,USD,1.02,외환은행/KEB하나은행
2017,KEB_Hana,USD,1.42,외환은행/KEB하나은행
2018,KEB_Hana,USD,2.32,외환은행/KEB하나은행
2019,KEB_Hana,USD,1.92,외환은행/KEB하나은행
2004,KB,USD,1.8,국민은행 (KB Kookmin)
2005,KB,USD,3.4,국민은행 (KB Kookmin)
2006,KB,USD,4.8,국민은행 (KB Kookmin)
2007,KB,USD,4.9,국민은행 (KB Kookmin)
2008,KB,USD,2.8,국민은행 (KB Kookmin)
2009,KB,USD,0.6,국민은행 (KB Kookmin)
2010,KB,USD,0.42,국민은행 (KB Kookmin)
2011,KB,USD,0.42,국민은행 (KB Kookmin)
2012,KB,USD,0.52,국민은행 (KB Kookmin)
2013,KB,USD,0.32,국민은행 (KB Kookmin)
2014,KB,USD,0.25,국민은행 (KB Kookmin)
2015,KB,USD,0.45,국민은행 (KB Kookmin)
2016,KB,USD,0.9,국민은행 (KB Kookmin)
2017,KB,USD,1.3,국민은행 (KB Kookmin)
2018,KB,USD,2.2,국민은행 (KB Kookmin)
2019,KB,USD,1.8,국민은행 (KB Kookmin)
2004,IBK,USD,1.95,IBK기업은행 (IBK)
2005,IBK,USD,3.55,IBK기업은행 (IBK)
2006,IBK,USD,4.95,IBK기업은행 (IBK)
2007,IBK,USD,5.05,IBK기업은행 (IBK)
2008,IBK,USD,2.95,IBK기업은행 (IBK)
2009,IBK,USD,0.75,IBK기업은행 (IBK)
2010,IBK,USD,0.5,IBK기업은행 (IBK)
2011,IBK,USD,0.5,IBK기업은행 (IBK)
2012,IBK,USD,0.6,IBK기업은행 (IBK)
2013,IBK,USD,0.4,IBK기업은행 (IBK)
2014,IBK,USD,0.32,IBK기업은행 (IBK)
2015,IBK,USD,0.52,IBK기업은행 (IBK)
2016,IBK,USD,1.0,IBK기업은행 (IBK)
2017,IBK,USD,1.4,IBK기업은행 (IBK)
2018,IBK,USD,2.3,IBK기업은행 (IBK)
2019,IBK,USD,1.9,IBK기업은행 (IBK)
2004,NH,USD,1.8,NH농협은행 (NH Nonghyup)
2005,NH,USD,3.4,NH농협은행 (NH Nonghyup)
2006,NH,USD,4.8,NH농협은행 (NH Nonghyup)
2007,NH,USD,4.9,NH농협은행 (NH Nonghyup)
2008,NH,USD,2.8,NH농협은행 (NH Nonghyup)
2009,NH,USD,0.6,NH농협은행 (NH Nonghyup)
2010,NH,USD,0.4,NH농협은행 (NH Nonghyup)
2011,NH,USD,0.4,NH농협은행 (NH Nonghyup)
2012,NH,USD,0.5,NH농협은행 (NH Nonghyup)
2013,NH,USD,0.3,NH농협은행 (NH Nonghyup)
2014,NH,USD,0.22,NH농협은행 (NH Nonghyup)
2015,NH,USD,0.42,NH농협은행 (NH Nonghyup)
2016,NH,USD,0.85,NH농협은행 (NH Nonghyup)
2017,NH,USD,1.25,NH농협은행 (NH Nonghyup)
2018,NH,USD,2.15,NH농협은행 (NH Nonghyup)
2019,NH,USD,1.75,NH농협은행 (NH Nonghyup)
2004,Woori,JPY,0.05,우리은행 (Woori Bank)
2005,Woori,JPY,0.08,우리은행 (Woori Bank)
2006,Woori,JPY,0.4,우리은행 (Woori Bank)
2007,Woori,JPY,0.75,우리은행 (Woori Bank)
2008,Woori,JPY,0.8,우리은행 (Woori Bank)
2009,Woori,JPY,0.4,우리은행 (Woori Bank)
2010,Woori,JPY,0.2,우리은행 (Woori Bank)
2011,Woori,JPY,0.15,우리은행 (Woori Bank)
2012,Woori,JPY,0.15,우리은행 (Woori Bank)
2013,Woori,JPY,0.1,우리은행 (Woori Bank)
2014,Woori,JPY,0.08,우리은행 (Woori Bank)
2015,Woori,JPY,0.05,우리은행 (Woori Bank)
2016,Woori,JPY,0.01,우리은행 (Woori Bank)
2017,Woori,JPY,0.01,우리은행 (Woori Bank)
2018,Woori,JPY,0.01,우리은행 (Woori Bank)
2019,Woori,JPY,0.01,우리은행 (Woori Bank)
