rep,dgp,learner,strategy,winsor_level,theta_hat,se,ci_lo,ci_hi,denom_E_Dres2
0,contamination,lasso_logit,S1_data_winsor,0.01,0.5676195745404866,0.2254188413907397,0.1257986454146368,1.0094405036663363,0.2390847795215007
0,contamination,lasso_logit,S4_honest_winsor,0.01,0.8570656560379052,0.40268793330095237,0.06779730676803852,1.646334005307772,0.23903627441663103
0,contamination,lasso_logit,S1_data_winsor,0.05,0.4590343998655396,0.08422993516179868,0.2939437269484142,0.624125072782665,0.24010140653226852
0,contamination,lasso_logit,S4_honest_winsor,0.05,0.864627287746805,0.39575324716061105,0.08895092331200727,1.6403036521816028,0.2400451915305466
0,contamination,rf_rf,S1_data_winsor,0.01,0.637368259682315,0.21211490036664635,0.22162305496368817,1.053113464400942,0.23309587653584896
0,contamination,rf_rf,S4_honest_winsor,0.01,0.8725129963464606,0.38080696515028417,0.12613134465190368,1.6188946480410176,0.23309587653584896
0,contamination,rf_rf,S1_data_winsor,0.05,0.5020693480988497,0.0813378714582218,0.342647120040735,0.6614915761569644,0.2338611811381077
0,contamination,rf_rf,S4_honest_winsor,0.05,0.9064814569578884,0.37599436738235636,0.16953249688846994,1.6434304170273069,0.23380841946293793
0,student_t_df3,lasso_logit,S1_data_winsor,0.01,0.39052215638830806,0.10888957125749546,0.17709859672361697,0.6039457160529992,0.23766766631098551
0,student_t_df3,lasso_logit,S4_honest_winsor,0.01,0.4199245440952716,0.11815002788938521,0.18835048943207658,0.6514985987584666,0.23758732646456238
0,student_t_df3,lasso_logit,S1_data_winsor,0.05,0.3636587296336084,0.09575362092511508,0.17598163262038286,0.551335826646834,0.2372464564752468
0,student_t_df3,lasso_logit,S4_honest_winsor,0.05,0.42632554993422506,0.11890209436861607,0.19327744497173757,0.6593736548967125,0.2371920814405892
0,student_t_df3,rf_rf,S1_data_winsor,0.01,0.38485022692058607,0.10277250085724342,0.18341612524038897,0.5862843286007832,0.23618479200221137
0,student_t_df3,rf_rf,S4_honest_winsor,0.01,0.4149397301027302,0.1117892726938015,0.1958327556228793,0.6340467045825812,0.23618479200221137
0,student_t_df3,rf_rf,S1_data_winsor,0.05,0.3495763125516737,0.08935711703021648,0.1744363631724494,0.524716261930898,0.23595549375030397
0,student_t_df3,rf_rf,S4_honest_winsor,0.05,0.43564728535596803,0.11220588240963648,0.2157237558330805,0.6555708148788555,0.23600198335387976
1,contamination,lasso_logit,S1_data_winsor,0.01,0.6971201381876728,0.33032922481465654,0.04967485755094603,1.3445654188243996,0.24143385666303613
1,contamination,lasso_logit,S4_honest_winsor,0.01,1.094242685613274,0.4775084010042489,0.1583262196449462,2.0301591515816018,0.24143344631675315
1,contamination,lasso_logit,S1_data_winsor,0.05,0.43863729127554046,0.08604012441967485,0.26999864741297774,0.6072759351381032,0.24150637329644722
1,contamination,lasso_logit,S4_honest_winsor,0.05,1.056055203067036,0.46548638601455566,0.1437018864785069,1.9684085196555652,0.24143768701227136
1,contamination,rf_rf,S1_data_winsor,0.01,0.7511764745591993,0.3425106233059627,0.07985565287951246,1.4224972962388862,0.23930751003200743
1,contamination,rf_rf,S4_honest_winsor,0.01,1.1738568078995255,0.4763952042076284,0.24012220765257386,2.1075914081464773,0.23930751003200743
1,contamination,rf_rf,S1_data_winsor,0.05,0.4473169190728036,0.08370174850083588,0.28326149201116524,0.6113723461344419,0.23905325670062438
1,contamination,rf_rf,S4_honest_winsor,0.05,1.1695033707548053,0.4753146068134764,0.23788674140039145,2.101120000109219,0.23919256979116624
1,student_t_df3,lasso_logit,S1_data_winsor,0.01,0.15568483264058589,0.09977664415439262,-0.039877389902023636,0.35124705518319543,0.24659079070508136
1,student_t_df3,lasso_logit,S4_honest_winsor,0.01,0.1762458879108921,0.10935558473963523,-0.038091058178792964,0.39058283400057714,0.24666144839071757
1,student_t_df3,lasso_logit,S1_data_winsor,0.05,0.14652054908890264,0.08821020826706909,-0.02637145911455277,0.31941255729235807,0.24647332069111486
1,student_t_df3,lasso_logit,S4_honest_winsor,0.05,0.18303985401398343,0.11056106353468889,-0.03365983051400678,0.39973953854197364,0.24634534028215357
1,student_t_df3,rf_rf,S1_data_winsor,0.01,0.2624746900118354,0.09629606741193886,0.07373439788443523,0.4512149821392355,0.2369276520917139
1,student_t_df3,rf_rf,S4_honest_winsor,0.01,0.30130537951301284,0.10550412070901362,0.09451730292334615,0.5080934561026795,0.2369276520917139
1,student_t_df3,rf_rf,S1_data_winsor,0.05,0.24447540914336635,0.08373432583280054,0.08035613051107732,0.4085946877756554,0.2374758426685664
1,student_t_df3,rf_rf,S4_honest_winsor,0.05,0.33423531629831754,0.10635899383040254,0.12577168839072858,0.5426989442059065,0.23726876233367417
2,contamination,lasso_logit,S1_data_winsor,0.01,0.38689857272597955,0.2660552351143115,-0.13456968809807096,0.9083668335500301,0.22104576616345104
2,contamination,lasso_logit,S4_honest_winsor,0.01,0.591423480712743,0.3317037553863032,-0.05871587984441129,1.2415628412698974,0.22094622148325396
2,contamination,lasso_logit,S1_data_winsor,0.05,0.45356977800983683,0.08906974423858299,0.2789930793022142,0.6281464767174595,0.22156546440134758
2,contamination,lasso_logit,S4_honest_winsor,0.05,0.6198240813599791,0.3261512610443558,-0.019432390286958312,1.2590805530069167,0.22140205181428183
2,contamination,rf_rf,S1_data_winsor,0.01,0.4159414777226082,0.2601912987314753,-0.0940334677910834,0.9259164232362997,0.22438900933125974
2,contamination,rf_rf,S4_honest_winsor,0.01,0.6345541699956582,0.3604548035390623,-0.07193724494090392,1.3410455849322203,0.22438900933125974
2,contamination,rf_rf,S1_data_winsor,0.05,0.48234538858027676,0.08497460959325788,0.31579515377749134,0.6488956233830622,0.22494050498600485
2,contamination,rf_rf,S4_honest_winsor,0.05,0.6350717686884733,0.35891959817340324,-0.06841064373139705,1.3385541811083437,0.22491397974536734
2,student_t_df3,lasso_logit,S1_data_winsor,0.01,0.5105977452310909,0.10847596887305906,0.2979848462398952,0.7232106442222866,0.23611016211047578
2,student_t_df3,lasso_logit,S4_honest_winsor,0.01,0.6324535251048643,0.1761075358511529,0.2872827548366046,0.977624295373124,0.23611530759437843
2,student_t_df3,lasso_logit,S1_data_winsor,0.05,0.4854434529879818,0.0936265526954187,0.30193540970496113,0.6689514962710025,0.23653690868039517
2,student_t_df3,lasso_logit,S4_honest_winsor,0.05,0.6461866885138231,0.17567473168647832,0.3018642144083256,0.9905091626193205,0.236444039264063
2,student_t_df3,rf_rf,S1_data_winsor,0.01,0.4961873848902495,0.0986849837115972,0.302764816815519,0.68960995296498,0.23620977120726747
2,student_t_df3,rf_rf,S4_honest_winsor,0.01,0.5911430551545477,0.14152874191694187,0.31374672099734163,0.8685393893117537,0.23620977120726747
