stock_code,corp_name,market,market_raw,sector,main_products,listing_date,fiscal_month,region,is_financial_narrow,is_financial_conservative,exclude_reason,is_standard_stock_code,is_financial_auto,corp_code,corp_name_dart,modify_date
217590,티엠씨,KOSPI,유가,절연선 및 케이블 제조업,"선박용케이블, 해양용케이블, 전력용케이블, 광케이블 등",2025-12-15,12월,충청남도,False,False,,True,False,00949161,티엠씨,20251215
317450,명인제약,KOSPI,유가,의약품 제조업,"신경정신계열, 구강계열 완제의약품",2025-10-01,12월,경기도,False,False,,True,False,00179489,명인제약,20260327
439260,대한조선,KOSPI,유가,선박 및 보트 건조업,선박 및 보트 건조업,2025-08-01,12월,전라남도,False,False,,True,False,00182696,대한조선,20260420
483650,달바글로벌,KOSPI,유가,기타 화학제품 제조업,"기초 화장품, 건강기능식품 등",2025-05-22,12월,서울특별시,False,False,,True,False,01649204,달바글로벌,20250522
480370,씨케이솔루션,KOSPI,유가,일반 목적용 기계 제조업,"드라이룸/클린룸 등 건물용 기계, 장비 설치 공사업",2025-03-17,12월,경기도,False,False,,True,False,01210677,씨케이솔루션,20260507
064400,LG씨엔에스,KOSPI,유가,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컨설팅, 시스템 구축/운영, 토탈 아웃소싱 및 AI, 클라우드·스마트팩토리 등 IT신기술 기반의 DX사업",2025-02-05,12월,서울특별시,False,False,,True,False,00139834,LG씨엔에스,20251222
484870,엠앤씨솔루션,KOSPI,유가,특수 목적용 기계 제조업,방위산업용 유압식/전기식 부품 및 시스템,2024-12-16,12월,경상남도,False,False,,True,False,01519790,엠앤씨솔루션,20250220
475560,더본코리아,KOSPI,유가,상품 종합 도매업,프랜차이즈,2024-11-06,12월,서울특별시,False,False,,True,False,00968607,더본코리아,20260323
489790,한화비전,KOSPI,유가,통신 및 방송 장비 제조업,비금융지주회사,2024-09-27,12월,경기도,False,False,,True,False,01867758,한화비전,20250804
079900,전진건설로봇,KOSPI,유가,특수 목적용 기계 제조업,콘크리트 펌프카,2024-08-19,12월,충청북도,False,False,,True,False,00372129,전진건설로봇,20250901
062040,산일전기,KOSPI,유가,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","유입, 몰드, 주상, 건식 변압기 등",2024-07-29,12월,경기도,False,False,,True,False,00366438,산일전기,20250507
462870,시프트업,KOSPI,유가,소프트웨어 개발 및 공급업,게임 소프트웨어,2024-07-11,12월,서울특별시,False,False,,True,False,01384787,시프트업,20260226
034230,파라다이스,KOSPI,유가,유원지 및 기타 오락관련 서비스업,"카지노, 호텔, 복합리조트",2024-06-24,12월,서울특별시,False,False,,True,False,00171265,파라다이스,20260331
443060,HD현대마린솔루션,KOSPI,유가,"건축기술, 엔지니어링 및 관련 기술 서비스업","AM(After Market) 솔루션, 친환경 Retrofit, 디지털 제어",2024-05-08,12월,경기도,False,False,,True,False,01194689,HD현대마린솔루션,20260325
475150,SK이터닉스,KOSPI,유가,건물 건설업,부동산 개발,2024-03-29,12월,경기도,False,False,,True,False,01817081,SK이터닉스,20240411
278470,에이피알,KOSPI,유가,기타 화학제품 제조업,"화장품, 피부미용기기 등",2024-02-27,12월,서울특별시,False,False,,True,False,01190568,에이피알,20240924
066970,엘앤에프,KOSPI,유가,일차전지 및 이차전지 제조업,이차전지 양극활물질,2024-01-29,12월,대구광역시,False,False,,True,False,00398701,엘앤에프,20251223
022100,포스코DX,KOSPI,유가,"건축기술, 엔지니어링 및 관련 기술 서비스업",EIC 자동화 엔지니어링 및 IT서비스,2024-01-02,12월,경상북도,False,False,,True,False,00155212,포스코DX,20250325
017860,DS단석,KOSPI,유가,기타 화학제품 제조업,바이오에너지,2023-12-22,12월,경기도,False,False,,True,False,00108612,DS단석,20231222
