corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year
01649204,달바글로벌,483650,Y,[기재정정]분기보고서 (2024.09),20241125000168,달바글로벌,20241125,,2024,2024
01649204,달바글로벌,483650,Y,분기보고서 (2024.09),20241113000384,달바글로벌,20241113,정,2024,2024
00139834,LG씨엔에스,064400,Y,분기보고서 (2018.09),20181114001092,LG씨엔에스,20181114,,2018,2018
00139834,LG씨엔에스,064400,Y,반기보고서 (2018.06),20180814001258,LG씨엔에스,20180814,,2018,2018
00139834,LG씨엔에스,064400,Y,분기보고서 (2018.03),20180515002040,LG씨엔에스,20180515,,2018,2018
00139834,LG씨엔에스,064400,Y,사업보고서 (2017.12),20180329001088,LG씨엔에스,20180329,연,2018,2018
00139834,LG씨엔에스,064400,Y,분기보고서 (2019.09),20191114001950,LG씨엔에스,20191114,,2019,2019
00139834,LG씨엔에스,064400,Y,반기보고서 (2019.06),20190814002204,LG씨엔에스,20190814,,2019,2019
00139834,LG씨엔에스,064400,Y,분기보고서 (2019.03),20190515002450,LG씨엔에스,20190515,,2019,2019
00139834,LG씨엔에스,064400,Y,사업보고서 (2018.12),20190401004162,LG씨엔에스,20190401,연,2019,2019
00139834,LG씨엔에스,064400,Y,분기보고서 (2020.09),20201116001817,LG씨엔에스,20201116,,2020,2020
00139834,LG씨엔에스,064400,Y,반기보고서 (2020.06),20200814001425,LG씨엔에스,20200814,,2020,2020
00139834,LG씨엔에스,064400,Y,분기보고서 (2020.03),20200515002153,LG씨엔에스,20200515,,2020,2020
00139834,LG씨엔에스,064400,Y,사업보고서 (2019.12),20200330003747,LG씨엔에스,20200330,연,2020,2020
00139834,LG씨엔에스,064400,Y,분기보고서 (2021.09),20211115001578,LG씨엔에스,20211115,,2021,2021
00139834,LG씨엔에스,064400,Y,반기보고서 (2021.06),20210817001655,LG씨엔에스,20210817,,2021,2021
00139834,LG씨엔에스,064400,Y,분기보고서 (2021.03),20210517001482,LG씨엔에스,20210517,,2021,2021
00139834,LG씨엔에스,064400,Y,사업보고서 (2020.12),20210331001781,LG씨엔에스,20210331,연,2021,2021
00139834,LG씨엔에스,064400,Y,분기보고서 (2022.09),20221114001694,LG씨엔에스,20221114,,2022,2022
00139834,LG씨엔에스,064400,Y,반기보고서 (2022.06),20220816001766,LG씨엔에스,20220816,,2022,2022
00139834,LG씨엔에스,064400,Y,분기보고서 (2022.03),20220516001347,LG씨엔에스,20220516,,2022,2022
00139834,LG씨엔에스,064400,Y,[기재정정]사업보고서 (2021.12),20220405002309,LG씨엔에스,20220405,연,2022,2022
00139834,LG씨엔에스,064400,Y,사업보고서 (2021.12),20220331002884,LG씨엔에스,20220331,정연,2022,2022
00139834,LG씨엔에스,064400,Y,분기보고서 (2023.09),20231114002227,LG씨엔에스,20231114,,2023,2023
00139834,LG씨엔에스,064400,Y,반기보고서 (2023.06),20230814002337,LG씨엔에스,20230814,,2023,2023
00139834,LG씨엔에스,064400,Y,분기보고서 (2023.03),20230515002177,LG씨엔에스,20230515,,2023,2023
