stock_code,corp_code,corp_name,market,sector,listing_date,year,CorrectionCount,FirstCorrectionDate,LastCorrectionDate,CorrectionDummy
217590,00949161,티엠씨,KOSPI,절연선 및 케이블 제조업,2025-12-15,2018,0,,,0
217590,00949161,티엠씨,KOSPI,절연선 및 케이블 제조업,2025-12-15,2019,0,,,0
217590,00949161,티엠씨,KOSPI,절연선 및 케이블 제조업,2025-12-15,2020,0,,,0
217590,00949161,티엠씨,KOSPI,절연선 및 케이블 제조업,2025-12-15,2021,0,,,0
217590,00949161,티엠씨,KOSPI,절연선 및 케이블 제조업,2025-12-15,2022,0,,,0
217590,00949161,티엠씨,KOSPI,절연선 및 케이블 제조업,2025-12-15,2023,0,,,0
217590,00949161,티엠씨,KOSPI,절연선 및 케이블 제조업,2025-12-15,2024,0,,,0
001200,00131054,삼양바이오팜,KOSPI,의약품 제조업,2025-11-24,2018,0,,,0
001200,00131054,삼양바이오팜,KOSPI,의약품 제조업,2025-11-24,2019,0,,,0
001200,00131054,삼양바이오팜,KOSPI,의약품 제조업,2025-11-24,2020,0,,,0
001200,00131054,삼양바이오팜,KOSPI,의약품 제조업,2025-11-24,2021,0,,,0
001200,00131054,삼양바이오팜,KOSPI,의약품 제조업,2025-11-24,2022,0,,,0
001200,00131054,삼양바이오팜,KOSPI,의약품 제조업,2025-11-24,2023,0,,,0
001200,00131054,삼양바이오팜,KOSPI,의약품 제조업,2025-11-24,2024,0,,,0
001200,01965333,삼양바이오팜,KOSPI,의약품 제조업,2025-11-24,2018,0,,,0
001200,01965333,삼양바이오팜,KOSPI,의약품 제조업,2025-11-24,2019,0,,,0
001200,01965333,삼양바이오팜,KOSPI,의약품 제조업,2025-11-24,2020,0,,,0
001200,01965333,삼양바이오팜,KOSPI,의약품 제조업,2025-11-24,2021,0,,,0
001200,01965333,삼양바이오팜,KOSPI,의약품 제조업,2025-11-24,2022,0,,,0
001200,01965333,삼양바이오팜,KOSPI,의약품 제조업,2025-11-24,2023,0,,,0
001200,01965333,삼양바이오팜,KOSPI,의약품 제조업,2025-11-24,2024,0,,,0
317450,00179489,명인제약,KOSPI,의약품 제조업,2025-10-01,2018,0,,,0
317450,00179489,명인제약,KOSPI,의약품 제조업,2025-10-01,2019,0,,,0
317450,00179489,명인제약,KOSPI,의약품 제조업,2025-10-01,2020,0,,,0
317450,00179489,명인제약,KOSPI,의약품 제조업,2025-10-01,2021,0,,,0
317450,00179489,명인제약,KOSPI,의약품 제조업,2025-10-01,2022,0,,,0
317450,00179489,명인제약,KOSPI,의약품 제조업,2025-10-01,2023,0,,,0
317450,00179489,명인제약,KOSPI,의약품 제조업,2025-10-01,2024,0,,,0
439260,00182696,대한조선,KOSPI,선박 및 보트 건조업,2025-08-01,2018,0,,,0
439260,00182696,대한조선,KOSPI,선박 및 보트 건조업,2025-08-01,2019,0,,,0
439260,00182696,대한조선,KOSPI,선박 및 보트 건조업,2025-08-01,2020,0,,,0
439260,00182696,대한조선,KOSPI,선박 및 보트 건조업,2025-08-01,2021,0,,,0
439260,00182696,대한조선,KOSPI,선박 및 보트 건조업,2025-08-01,2022,0,,,0
439260,00182696,대한조선,KOSPI,선박 및 보트 건조업,2025-08-01,2023,0,,,0
439260,00182696,대한조선,KOSPI,선박 및 보트 건조업,2025-08-01,2024,0,,,0
483650,01649204,달바글로벌,KOSPI,기타 화학제품 제조업,2025-05-22,2018,0,,,0
483650,01649204,달바글로벌,KOSPI,기타 화학제품 제조업,2025-05-22,2019,0,,,0
483650,01649204,달바글로벌,KOSPI,기타 화학제품 제조업,2025-05-22,2020,0,,,0
483650,01649204,달바글로벌,KOSPI,기타 화학제품 제조업,2025-05-22,2021,0,,,0
483650,01649204,달바글로벌,KOSPI,기타 화학제품 제조업,2025-05-22,2022,0,,,0
483650,01649204,달바글로벌,KOSPI,기타 화학제품 제조업,2025-05-22,2023,0,,,0
483650,01649204,달바글로벌,KOSPI,기타 화학제품 제조업,2025-05-22,2024,0,,,0
480370,01210677,씨케이솔루션,KOSPI,일반 목적용 기계 제조업,2025-03-17,2018,0,,,0
480370,01210677,씨케이솔루션,KOSPI,일반 목적용 기계 제조업,2025-03-17,2019,0,,,0
480370,01210677,씨케이솔루션,KOSPI,일반 목적용 기계 제조업,2025-03-17,2020,0,,,0
480370,01210677,씨케이솔루션,KOSPI,일반 목적용 기계 제조업,2025-03-17,2021,0,,,0
480370,01210677,씨케이솔루션,KOSPI,일반 목적용 기계 제조업,2025-03-17,2022,0,,,0
480370,01210677,씨케이솔루션,KOSPI,일반 목적용 기계 제조업,2025-03-17,2023,0,,,0
480370,01210677,씨케이솔루션,KOSPI,일반 목적용 기계 제조업,2025-03-17,2024,0,,,0
064400,00139834,LG씨엔에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2025-02-05,2018,0,,,0
064400,00139834,LG씨엔에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2025-02-05,2019,0,,,0
064400,00139834,LG씨엔에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2025-02-05,2020,0,,,0
064400,00139834,LG씨엔에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2025-02-05,2021,0,,,0
064400,00139834,LG씨엔에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2025-02-05,2022,1,20220405,20220405,1
