,CorrectionDummy,CorrectionCount,MaterialCorrectionDummy,NonAuditFeeRatio,LogAuditFee,Big4Auditor,OutsideDirectorRatio,LargestShareholderOwnership,MinorityShareholderRatio,LogAssets,Leverage,ROA,Loss
CorrectionDummy,1.0,0.7754983990270873,0.6434768838116878,0.1664607174280109,0.20444986028614742,0.09015029862586203,-0.034138797113202446,0.034131284773898325,0.06479363763261543,0.012827466232500832,0.18034258794231303,,
CorrectionCount,0.7754983990270873,1.0,0.32175036841292987,0.11306962675657782,0.24037731567318238,0.07024511624176469,-0.056542960121291695,0.00849538654586698,0.03750790091329159,-0.08097266784623218,0.15966480108356193,,
MaterialCorrectionDummy,0.6434768838116878,0.32175036841292987,1.0,,,-0.00936444698923271,0.020530684074247966,0.09583514600693703,0.049657722020042656,0.08138508382685689,0.10406143577382128,,
NonAuditFeeRatio,0.1664607174280109,0.11306962675657782,,1.0,0.13023866838172057,-0.08916565772425401,,-0.48474587817792475,-0.0812130532784178,,,,
LogAuditFee,0.20444986028614742,0.24037731567318238,,0.13023866838172057,1.0,0.35985706895454306,,-0.026881872293770648,-0.18439048215563178,0.14969608283655567,-0.2623897255481619,,
Big4Auditor,0.09015029862586203,0.07024511624176469,-0.00936444698923271,-0.08916565772425401,0.35985706895454306,1.0,-0.029794418025568717,0.09328975818575067,0.13960629696563268,0.22362959354609657,-0.09152752614010479,,
OutsideDirectorRatio,-0.034138797113202446,-0.056542960121291695,0.020530684074247966,,,-0.029794418025568717,1.0,-0.130891929974074,0.07223349059015836,0.37668942963538443,0.049302171498280103,,
LargestShareholderOwnership,0.034131284773898325,0.00849538654586698,0.09583514600693703,-0.48474587817792475,-0.026881872293770648,0.09328975818575067,-0.130891929974074,1.0,-0.12444631008366064,0.23987231206776846,-0.04450284753599233,,
MinorityShareholderRatio,0.06479363763261543,0.03750790091329159,0.049657722020042656,-0.0812130532784178,-0.18439048215563178,0.13960629696563268,0.07223349059015836,-0.12444631008366064,1.0,0.14107978279293676,0.12937584091756898,,
LogAssets,0.012827466232500832,-0.08097266784623218,0.08138508382685689,,0.14969608283655567,0.22362959354609657,0.37668942963538443,0.23987231206776846,0.14107978279293676,1.0,0.20351068248756776,,
Leverage,0.18034258794231303,0.15966480108356193,0.10406143577382128,,-0.2623897255481619,-0.09152752614010479,0.049302171498280103,-0.04450284753599233,0.12937584091756898,0.20351068248756776,1.0,,
ROA,,,,,,,,,,,,,
Loss,,,,,,,,,,,,,
