,missing_rate
ROA,1.0
NonAuditFeeRatio,0.9285714285714286
LogAuditFee,0.9285714285714286
AuditFee,0.9285714285714286
OutsideDirectorRatio,0.5914285714285714
OutsideDirectorCount,0.5914285714285714
BoardSize,0.58
Assets,0.5485714285714286
Leverage,0.5485714285714286
Loss,0.5485714285714286
LogAssets,0.5485714285714286
MinorityShareholderCount,0.5371428571428571
MinorityShareholderRatio,0.5371428571428571
NonAuditFee,0.5057142857142857
CleanOpinion,0.5057142857142857
Big4Auditor,0.5057142857142857
LargestShareholderOwnership,0.5057142857142857
CorrectionDummy,0.0
CorrectionCount,0.0
MaterialCorrectionDummy,0.0
MaterialCorrectionCount,0.0
MaterialKeywordHits,0.0
