corp_code,year,Assets,Liabilities,Equity,Revenue,OperatingIncome,NetIncome,Size,Leverage,ROA,Loss
01649204,2024,136108165193.0,34039092723.0,102069072470.0,309062616157.0,59844712688.0,,25.636715738874795,0.2500885429961745,,0.0
01210677,2024,188423078176.0,97291883827.0,91131194349.0,295772527163.0,16524305283.0,,25.961955687213024,0.5163480225926611,,0.0
00139834,2023,4040679600000.0,2172423337000.0,1868256263000.0,5605300168000.0,464048383000.0,,29.027434011576357,0.5376381084508656,,0.0
00139834,2024,4504507763000.0,2381697364000.0,2122810399000.0,5982627063000.0,512864077000.0,,29.136099736424143,0.5287364323274671,,0.0
01519790,2024,357113314488.0,191727483272.0,165385831216.0,282796626108.0,34824919168.0,,26.601318975892347,0.5368813636839144,,0.0
00968607,2024,352697366866.0,85109581494.0,267587785372.0,464151201512.0,36023906701.0,,26.58887620851269,0.24131051005644624,,0.0
01867758,2024,1591146181854.0,766419408117.0,824726773737.0,493322362934.0,-120362075.0,,28.09547574154993,0.481677558515692,,0.0
00372129,2024,219236327906.0,64838435404.0,154397892502.0,169785980240.0,31345210502.0,,26.11341610778683,0.295746767989109,,0.0
00366438,2024,492674198507.0,58432311269.0,434241887238.0,333996550771.0,109231906505.0,,26.923113937572836,0.1186023368913438,,0.0
01384787,2024,803831909889.0,39427774284.0,764404135605.0,224084645616.0,152676273166.0,,27.412656016965524,0.0490497749578572,,0.0
00171265,2018,3150767406528.0,1524675674151.0,1626091732377.0,787616484264.0,2407781942.0,,28.778667160215285,0.48390613378571223,,0.0
00171265,2019,3470353602407.0,1866151021754.0,1604202580653.0,979432908913.0,51868333792.0,,28.875277607406538,0.5377408862484957,,0.0
00171265,2020,3313512458993.0,1879962245119.0,1433550213874.0,453881181278.0,-86150819625.0,,28.829029908537944,0.5673623589423091,,0.0
00171265,2021,3471796250289.0,1957355763818.0,1514440486471.0,414466172837.0,-55245896594.0,,28.875693227332174,0.5637876253985428,,0.0
00171265,2022,3511523805592.0,1826356918264.0,1685166887328.0,587637410933.0,10412544286.0,,28.887071191845305,0.5201038122981195,,0.0
00171265,2023,3618279367040.0,1832814279870.0,1785465087170.0,994199113643.0,145770072264.0,,28.917019715796833,0.5065430537414162,,0.0
00171265,2024,3933768381301.0,1858565750759.0,2075202630542.0,1072108965111.0,136055145217.0,,29.00061895803124,0.4724644591668419,,0.0
01194689,2024,1152227968481.0,378693406923.0,773534561558.0,1745458578779.0,271729951500.0,,27.772718547931166,0.32866187706087135,,0.0
01817081,2024,731694676657.0,489721923418.0,241972753239.0,332151737229.0,37637399717.0,,27.318629155501743,0.6692981909550905,,0.0
01190568,2019,60525209508.0,51128456543.0,9396752965.0,158999740099.0,7152417688.0,,24.826325801276315,0.8447464611624687,,0.0
01190568,2020,91828661321.0,40128746173.0,51699915148.0,219939337665.0,14469696877.0,,25.243190300669657,0.4369958746618806,,0.0
01190568,2021,126428830150.0,60427749526.0,66001080624.0,259146144182.0,14273152154.0,,25.562945379281114,0.47795862268365696,,0.0
01190568,2022,184122622814.0,83864628098.0,100257994716.0,397698119336.0,39228479397.0,,25.9388678009276,0.45548247584285034,,0.0
