rcept_no,corp_cls,corp_code,corp_name,bsns_year,adtor,cn,mendng,tot_reqre_time,adt_cntrct_dtls_mendng,adt_cntrct_dtls_time,real_exc_dtls_mendng,real_exc_dtls_time,stlm_dt,query_year,endpoint_label
20250318000466,Y,01649204,달바글로벌,제9기(당기),삼일회계법인,"반기 별도 및 연결재무제표 감사
온기 별도 및 연결재무제표 감사",-,-,"91백만원
130백만원","750시간
1,050시간","91백만원
130백만원","753시간
967시간",2024-12-31,2024,audit_contract
20250318000466,Y,01649204,달바글로벌,제8기(전기),태성회계법인,별도 및 연결재무제표 감사,-,-,30백만원,300시간,70백만원,716시간,2024-12-31,2024,audit_contract
20250318000466,Y,01649204,달바글로벌,제7기(전전기),태성회계법인,별도 재무제표 감사,-,-,30백만원,310시간,30백만원,317시간,2024-12-31,2024,audit_contract
20250320001576,Y,01210677,씨케이솔루션,제21기(당기),인덕회계법인,별도 및 연결 재무제표에 대한 감사,-,-,75,890,75,"1,041",2024-12-31,2024,audit_contract
20250320001576,Y,01210677,씨케이솔루션,제20기(전기),우리회계법인,별도 및 연결 재무제표에 대한 감사,-,-,170,"1,300",230,"1,776",2024-12-31,2024,audit_contract
20250320001576,Y,01210677,씨케이솔루션,제19기(전전기),인덕회계법인,별도 및 연결 재무제표에 대한 감사,-,-,62,754,62,777,2024-12-31,2024,audit_contract
20190401004162,Y,00139834,LG씨엔에스,제32기(당기),안진회계법인,"별도 / 연결 분,반기 검토 및 기말감사",280,"4,326시간",-,-,-,-,2018-12-31,2018,audit_contract
20190401004162,Y,00139834,LG씨엔에스,제31기(전기),안진회계법인,"별도 / 연결 분,반기 검토 및 기말감사",280,"4,038시간",-,-,-,-,2018-12-31,2018,audit_contract
20190401004162,Y,00139834,LG씨엔에스,제30기(전전기),안진회계법인,"별도 / 연결 분,반기 검토 및 기말감사",280,"3,431시간",-,-,-,-,2018-12-31,2018,audit_contract
20200330003747,Y,00139834,LG씨엔에스,제33기(당기),안진회계법인,"별도 / 연결 분,반기 검토 및 기말감사",360,"3,725시간",-,-,-,-,2019-12-31,2019,audit_contract
20200330003747,Y,00139834,LG씨엔에스,제32기(전기),안진회계법인,"별도 / 연결 분,반기 검토 및 기말감사",280,"4,326시간",-,-,-,-,2019-12-31,2019,audit_contract
20200330003747,Y,00139834,LG씨엔에스,제31기(전전기),안진회계법인,"별도 / 연결 분,반기 검토 및 기말감사",280,"4,038시간",-,-,-,-,2019-12-31,2019,audit_contract
20210331001781,Y,00139834,LG씨엔에스,제34기(당기),안진회계법인,"별도 / 연결 분,반기 검토 및 기말감사",-,-,390,"4,200시간",390,"3,824시간",2020-12-31,2020,audit_contract
20210331001781,Y,00139834,LG씨엔에스,제33기(전기),안진회계법인,"별도 / 연결 분,반기 검토 및 기말감사",-,-,360,"4,000시간",360,"3,716시간",2020-12-31,2020,audit_contract
