rcept_no,corp_cls,corp_code,corp_name,stock_knd,nm,relate,bsis_posesn_stock_co,bsis_posesn_stock_qota_rt,trmend_posesn_stock_co,trmend_posesn_stock_qota_rt,rm,stlm_dt,query_year,endpoint_label
20250318000466,Y,01649204,달바글로벌,보통주,반성연,본인,"1,605,645",14.30,"1,994,780",17.40,(주1),2024-12-31,2024,largest_shareholder
20250318000466,Y,01649204,달바글로벌,보통주,유명한,등기임원,0,0.00,"122,437",1.10,(주2),2024-12-31,2024,largest_shareholder
20250318000466,Y,01649204,달바글로벌,보통주,계,,"1,605,645",14.30,"2,117,217",18.50,-,2024-12-31,2024,largest_shareholder
20250318000466,Y,01649204,달바글로벌,우선주,계,,-,-,-,-,-,2024-12-31,2024,largest_shareholder
20250320001576,Y,01210677,씨케이솔루션,보통주,김유곤,최대주주 본인,"50,001",36.80,"2,529,650",26.81,주3),2024-12-31,2024,largest_shareholder
20250320001576,Y,01210677,씨케이솔루션,보통주,장현주,배우자,"30,096",22.15,"1,615,900",17.13,-,2024-12-31,2024,largest_shareholder
20250320001576,Y,01210677,씨케이솔루션,보통주,오진석,임원,"24,457",18.00,"1,266,090",13.42,주4),2024-12-31,2024,largest_shareholder
20250320001576,Y,01210677,씨케이솔루션,보통주,김민준,자녀,"1,902",1.40,"102,100",1.08,-,2024-12-31,2024,largest_shareholder
20250320001576,Y,01210677,씨케이솔루션,보통주,백승제,임원,"17,324",12.75,"901,960",9.56,주5),2024-12-31,2024,largest_shareholder
20250320001576,Y,01210677,씨케이솔루션,보통주,김형주,자녀,"1,902",1.40,"102,100",1.08,-,2024-12-31,2024,largest_shareholder
20250320001576,Y,01210677,씨케이솔루션,보통주,오광철,임원,19,0.01,950,0.01,-,2024-12-31,2024,largest_shareholder
20250320001576,Y,01210677,씨케이솔루션,보통주,계,,"125,701",92.51,"6,518,750",69.09,-,2024-12-31,2024,largest_shareholder
20250320001576,Y,01210677,씨케이솔루션,-,계,,-,-,-,-,-,2024-12-31,2024,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,(주)LG,최대주주,"74,076,292",85.00,"74,076,292",85.00,-,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,이순환,특수관계인,"3,917",0.00,"3,917",0.00,-,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,강현욱,특수관계인,"2,762",0.00,"2,762",0.00,-,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,정광호,특수관계인,"4,345",0.00,0,0.00,임기만료,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,정운열,특수관계인,"2,072",0.00,"2,072",0.00,-,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,김흥식,특수관계인,825,0.00,825,0.00,-,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,이성은,특수관계인,500,0.00,500,0.00,-,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,안종봉,특수관계인,0,0.00,"3,074",0.00,신규선임,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,손준배,특수관계인,0,0.00,"2,680",0.00,신규선임,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,김진규,특수관계인,0,0.00,"2,500",0.00,신규선임,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,구본무,특수관계인,"972,600",1.10,0,0.00,피상속,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,구광모,특수관계인,0,0.00,"972,600",1.10,상속,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,구본능,특수관계인,"729,400",0.80,"729,400",0.80,-,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,구본준,특수관계인,"243,200",0.30,"243,200",0.30,-,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,구본식,특수관계인,"121,500",0.10,"121,500",0.10,-,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,정웅식,특수관계인,"14,959",0.00,0,0.00,임기만료,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,노근배,특수관계인,"4,212",0.00,0,0.00,임기만료,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,백상엽,특수관계인,"4,072",0.00,0,0.00,임기만료,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,보통주식,계,,"76,180,656",87.40,"76,161,322",87.30,-,2018-12-31,2018,largest_shareholder
20190401004162,Y,00139834,LG씨엔에스,기타주식,계,,-,-,-,-,-,2018-12-31,2018,largest_shareholder
20200330003747,Y,00139834,LG씨엔에스,보통주식,(주)엘지,최대주주,"74,076,292",85.00,"74,076,292",85.00,-,2019-12-31,2019,largest_shareholder
20200330003747,Y,00139834,LG씨엔에스,보통주식,김진규,특수관계인,"2,500",0.00,0,0.00,임기만료,2019-12-31,2019,largest_shareholder
20200330003747,Y,00139834,LG씨엔에스,보통주식,정운열,특수관계인,"2,072",0.00,0,0.00,지분매각,2019-12-31,2019,largest_shareholder
