rcept_no,corp_cls,corp_code,corp_name,drctr_co,otcmp_drctr_co,apnt,rlsofc,mdstrm_resig,stlm_dt,query_year,endpoint_label
20250318000466,Y,01649204,달바글로벌,5,2,2,-,-,2024-12-31,2024,outside_director
20250320001576,Y,01210677,씨케이솔루션,7,3,3,-,-,2024-12-31,2024,outside_director
20210331001781,Y,00139834,LG씨엔에스,5,0,-,-,-,2020-12-31,2020,outside_director
20220405002309,Y,00139834,LG씨엔에스,5,0,-,-,-,2021-12-31,2021,outside_director
20230331004072,Y,00139834,LG씨엔에스,5,-,-,-,-,2022-12-31,2022,outside_director
20240401003467,Y,00139834,LG씨엔에스,5,0,0,0,0,2023-12-31,2023,outside_director
20250311001270,Y,00139834,LG씨엔에스,7,4,4,-,-,2024-12-31,2024,outside_director
20250319000653,Y,01519790,엠앤씨솔루션,7,3,3,-,2,2024-12-31,2024,outside_director
20250320000574,Y,00968607,더본코리아,7,3,3,-,-,2024-12-31,2024,outside_director
20250317000812,Y,01867758,한화비전,4,3,3,-,-,2024-12-31,2024,outside_director
20250317000567,Y,00372129,전진건설로봇,4,2,1,-,-,2024-12-31,2024,outside_director
20250328001583,Y,00366438,산일전기,5,3,2,-,-,2024-12-31,2024,outside_director
20250319000952,Y,01384787,시프트업,7,3,-,-,-,2024-12-31,2024,outside_director
20210419000082,Y,00171265,파라다이스,4,2,1,0,1,2020-12-31,2020,outside_director
20220317001345,Y,00171265,파라다이스,5,2,2,-,1,2021-12-31,2021,outside_director
20230316001131,Y,00171265,파라다이스,5,2,-,-,-,2022-12-31,2022,outside_director
20240314000746,Y,00171265,파라다이스,4,2,2,-,-,2023-12-31,2023,outside_director
20250415000021,Y,00171265,파라다이스,5,3,1,-,-,2024-12-31,2024,outside_director
20250509000499,Y,01194689,HD현대마린솔루션,7,4,-,-,-,2024-12-31,2024,outside_director
20250317000875,Y,01817081,SK이터닉스,4,1,1,-,-,2024-12-31,2024,outside_director
20210331000895,Y,01190568,에이피알,7,2,3,-,-,2020-12-31,2020,outside_director
20220331002148,Y,01190568,에이피알,6,3,1,-,-,2021-12-31,2021,outside_director
20230329001036,Y,01190568,에이피알,6,3,-,-,-,2022-12-31,2022,outside_director
20240321000964,Y,01190568,에이피알,5,3,2,-,2,2023-12-31,2023,outside_director
20250321001576,Y,01190568,에이피알,5,3,1,-,-,2024-12-31,2024,outside_director
20210309000400,Y,00398701,엘앤에프,2,3,-,-,-,2020-12-31,2020,outside_director
20220315000434,Y,00398701,엘앤에프,3,3,1,-,-,2021-12-31,2021,outside_director
20230828000596,Y,00398701,엘앤에프,3,3,2,-,-,2022-12-31,2022,outside_director
20240328001260,Y,00398701,엘앤에프,8,5,2,-,-,2023-12-31,2023,outside_director
20250311001260,Y,00398701,엘앤에프,8,5,1,-,-,2024-12-31,2024,outside_director
20210305000693,Y,00155212,포스코DX,4,1,1,-,-,2020-12-31,2020,outside_director
20220504000292,Y,00155212,포스코DX,4,1,-,-,-,2021-12-31,2021,outside_director
20230310000806,Y,00155212,포스코DX,4,1,1,1,-,2022-12-31,2022,outside_director
20240618000197,Y,00155212,포스코DX,4,1,-,-,-,2023-12-31,2023,outside_director
20250314001261,Y,00155212,포스코DX,5,2,2,-,-,2024-12-31,2024,outside_director
20240320000618,Y,00108612,DS단석,8,3,3,-,-,2023-12-31,2023,outside_director
20250321001800,Y,00108612,DS단석,7,3,1,-,1,2024-12-31,2024,outside_director
20240321000011,Y,00367710,동인기연,4,1,-,-,-,2023-12-31,2023,outside_director
20250320001366,Y,00367710,동인기연,4,2,2,-,1,2024-12-31,2024,outside_director
20230321001386,Y,01311408,에코프로머티,5,-,4,-,-,2022-12-31,2022,outside_director
20240417000528,Y,01311408,에코프로머티,7,4,1,-,1,2023-12-31,2023,outside_director
20250402002504,Y,01311408,에코프로머티,7,4,-,-,-,2024-12-31,2024,outside_director
20240320001860,Y,01105153,두산로보틱스,7,4,4,-,-,2023-12-31,2023,outside_director
20250321001817,Y,01105153,두산로보틱스,7,3,-,-,1,2024-12-31,2024,outside_director
20240321001878,Y,01784394,STX그린로지스,3,1,-,-,-,2023-12-31,2023,outside_director
20250320001570,Y,01784394,STX그린로지스,5,2,1,-,-,2024-12-31,2024,outside_director
20240321001898,Y,00220613,넥스틸,6,3,3,-,-,2023-12-31,2023,outside_director
20250331002907,Y,00220613,넥스틸,6,3,-,-,-,2024-12-31,2024,outside_director
20210317000949,Y,00158325,NICE평가정보,5,3,3,-,-,2020-12-31,2020,outside_director
20220318000520,Y,00158325,NICE평가정보,8,3,3,-,-,2021-12-31,2021,outside_director
20230317000824,Y,00158325,NICE평가정보,8,3,3,-,-,2022-12-31,2022,outside_director
20240319000797,Y,00158325,NICE평가정보,6,3,3,-,-,2023-12-31,2023,outside_director
20250314001653,Y,00158325,NICE평가정보,8,3,3,-,-,2024-12-31,2024,outside_director
20240315000658,Y,01770203,조선내화,7,3,3,-,1,2023-12-31,2023,outside_director
20250311000815,Y,01770203,조선내화,7,3,3,-,-,2024-12-31,2024,outside_director
20210331002350,Y,00447609,비에이치,3,1,-,-,-,2020-12-31,2020,outside_director
20220317000686,Y,00447609,비에이치,3,1,-,-,-,2021-12-31,2021,outside_director
20230323000767,Y,00447609,비에이치,3,1,-,-,-,2022-12-31,2022,outside_director
20240321001824,Y,00447609,비에이치,5,3,2,-,-,2023-12-31,2023,outside_director
20250326000026,Y,00447609,비에이치,5,3,1,-,-,2024-12-31,2024,outside_director
20240313000637,Y,01765256,동국씨엠,5,3,3,-,-,2023-12-31,2023,outside_director
20250317000943,Y,01765256,동국씨엠,5,3,-,-,-,2024-12-31,2024,outside_director
20240312000543,Y,01765265,동국제강,5,3,3,-,-,2023-12-31,2023,outside_director
20250317000722,Y,01765265,동국제강,5,3,-,-,-,2024-12-31,2024,outside_director
20240411004116,Y,01762569,이수스페셜티케미컬,4,1,1,-,-,2023-12-31,2023,outside_director
20250320001543,Y,01762569,이수스페셜티케미컬,4,1,-,-,-,2024-12-31,2024,outside_director
20240314000710,Y,01760738,OCI,5,3,3,-,-,2023-12-31,2023,outside_director
20250314001304,Y,01760738,OCI,5,3,-,-,-,2024-12-31,2024,outside_director
20210318000211,Y,00480367,SK오션플랜트,4,1,1,-,1,2020-12-31,2020,outside_director
20220323001382,Y,00480367,SK오션플랜트,4,1,-,-,-,2021-12-31,2021,outside_director
20230831000707,Y,00480367,SK오션플랜트,5,2,1,-,-,2022-12-31,2022,outside_director
20240320000346,Y,00480367,SK오션플랜트,6,2,-,-,-,2023-12-31,2023,outside_director
20250814001175,Y,00480367,SK오션플랜트,4,1,-,-,-,2024-12-31,2024,outside_director
20240318000716,Y,01721809,현대그린푸드,7,3,3,-,-,2023-12-31,2023,outside_director
20250314000805,Y,01721809,현대그린푸드,7,3,-,-,-,2024-12-31,2024,outside_director
20240318000820,Y,01722437,한화갤러리아,5,3,3,-,-,2023-12-31,2023,outside_director
20250317000838,Y,01722437,한화갤러리아,5,3,-,-,-,2024-12-31,2024,outside_director
20210331003006,Y,00622787,바이오노트,6,3,7,-,5,2020-12-31,2020,outside_director
20220331002923,Y,00622787,바이오노트,7,3,-,-,-,2021-12-31,2021,outside_director
20230321001282,Y,00622787,바이오노트,6,3,-,-,-,2022-12-31,2022,outside_director
20240322000144,Y,00622787,바이오노트,7,3,-,-,-,2023-12-31,2023,outside_director
20250318001275,Y,00622787,바이오노트,7,3,-,-,-,2024-12-31,2024,outside_director
20230322000303,Y,01702017,유니드비티플러스,4,1,1,-,-,2022-12-31,2022,outside_director
20240320000313,Y,01702017,유니드비티플러스,3,1,-,-,-,2023-12-31,2023,outside_director
20250319000185,Y,01702017,유니드비티플러스,3,1,-,-,-,2024-12-31,2024,outside_director
20210310001052,Y,00525934,LX세미콘,6,3,-,-,-,2020-12-31,2020,outside_director
20220314000950,Y,00525934,LX세미콘,6,3,-,-,-,2021-12-31,2021,outside_director
20230315001207,Y,00525934,LX세미콘,6,3,-,-,-,2022-12-31,2022,outside_director
20240313001269,Y,00525934,LX세미콘,6,3,1,-,-,2023-12-31,2023,outside_director
20250312001059,Y,00525934,LX세미콘,7,4,2,-,-,2024-12-31,2024,outside_director
20230322000801,Y,01026157,쏘카,10,3,1,-,1,2022-12-31,2022,outside_director
20240320001168,Y,01026157,쏘카,9,3,-,-,-,2023-12-31,2023,outside_director
20250318001072,Y,01026157,쏘카,8,3,2,-,1,2024-12-31,2024,outside_director
20230323001537,Y,00193328,수산인더스트리,5,3,1,-,1,2022-12-31,2022,outside_director
20240320000834,Y,00193328,수산인더스트리,6,3,-,-,-,2023-12-31,2023,outside_director
20250814003023,Y,00193328,수산인더스트리,5,2,2,-,-,2024-12-31,2024,outside_director
20210317000676,Y,01515323,LG에너지솔루션,4,-,-,-,-,2020-12-31,2020,outside_director
20220315001026,Y,01515323,LG에너지솔루션,7,4,4,-,-,2021-12-31,2021,outside_director
20230315001342,Y,01515323,LG에너지솔루션,6,3,-,-,1,2022-12-31,2022,outside_director
20240314001110,Y,01515323,LG에너지솔루션,7,4,1,-,-,2023-12-31,2023,outside_director
20250312000405,Y,01515323,LG에너지솔루션,7,4,3,-,-,2024-12-31,2024,outside_director
20220321001421,Y,01323032,케이카,6,3,8,-,5,2021-12-31,2021,outside_director
20230407002574,Y,01323032,케이카,6,3,3,-,1,2022-12-31,2022,outside_director
20240424000584,Y,01323032,케이카,6,3,3,-,-,2023-12-31,2023,outside_director
20250318000964,Y,01323032,케이카,6,3,3,-,1,2024-12-31,2024,outside_director
20210401001108,Y,01390344,HD현대중공업,7,4,1,-,-,2020-12-31,2020,outside_director
20220314000704,Y,01390344,HD현대중공업,7,4,-,-,-,2021-12-31,2021,outside_director
20230320000790,Y,01390344,HD현대중공업,5,3,2,-,3,2022-12-31,2022,outside_director
20240318000459,Y,01390344,HD현대중공업,5,3,1,-,-,2023-12-31,2023,outside_director
20250318000897,Y,01390344,HD현대중공업,5,3,1,-,-,2024-12-31,2024,outside_director
20220317000848,Y,00972503,일진하이솔루스,2,1,1,-,-,2021-12-31,2021,outside_director
20230315001068,Y,00972503,일진하이솔루스,3,1,1,-,-,2022-12-31,2022,outside_director
20240313001276,Y,00972503,일진하이솔루스,4,1,1,-,-,2023-12-31,2023,outside_director
20250312000525,Y,00972503,일진하이솔루스,4,1,1,-,-,2024-12-31,2024,outside_director
20220316000673,Y,00486705,아주스틸,5,2,1,-,1,2021-12-31,2021,outside_director
20230320001066,Y,00486705,아주스틸,5,2,-,-,-,2022-12-31,2022,outside_director
20250321001731,Y,00486705,아주스틸,5,2,1,-,1,2023-12-31,2023,outside_director
20250328001653,Y,00486705,아주스틸,5,2,1,-,1,2024-12-31,2024,outside_director
20210707000505,Y,00545716,롯데렌탈,7,2,1,-,-,2020-12-31,2020,outside_director
20220812000791,Y,00545716,롯데렌탈,6,4,3,-,-,2021-12-31,2021,outside_director
20230424000485,Y,00545716,롯데렌탈,6,4,1,-,-,2022-12-31,2022,outside_director
20240315000897,Y,00545716,롯데렌탈,7,4,3,-,-,2023-12-31,2023,outside_director
20250314001522,Y,00545716,롯데렌탈,6,3,1,-,1,2024-12-31,2024,outside_director
20260317000759,Y,00534598,한컴라이프케어,7,2,-,-,-,2021-12-31,2021,outside_director
20230315000557,Y,00534598,한컴라이프케어,7,2,1,-,1,2022-12-31,2022,outside_director
20240313000991,Y,00534598,한컴라이프케어,9,3,1,-,-,2023-12-31,2023,outside_director
20250814000446,Y,00534598,한컴라이프케어,9,3,-,-,-,2024-12-31,2024,outside_director
20210331003279,Y,00760971,크래프톤,5,-,4,-,-,2020-12-31,2020,outside_director
20220314000894,Y,00760971,크래프톤,6,4,4,-,1,2021-12-31,2021,outside_director
20230320000728,Y,00760971,크래프톤,5,3,-,-,1,2022-12-31,2022,outside_director
20240318000420,Y,00760971,크래프톤,7,5,-,-,-,2023-12-31,2023,outside_director
20250318001121,Y,00760971,크래프톤,7,5,3,-,-,2024-12-31,2024,outside_director
20210311000048,Y,00767460,PI첨단소재,7,3,3,-,3,2020-12-31,2020,outside_director
20220316000360,Y,00767460,PI첨단소재,7,3,-,-,-,2021-12-31,2021,outside_director
20230315000084,Y,00767460,PI첨단소재,7,3,-,-,-,2022-12-31,2022,outside_director
20240312000215,Y,00767460,PI첨단소재,7,3,3,-,-,2023-12-31,2023,outside_director
20250313000132,Y,00767460,PI첨단소재,7,3,-,-,-,2024-12-31,2024,outside_director
20210514001634,Y,00854997,에스디바이오센서,7,3,3,-,-,2020-12-31,2020,outside_director
20250822000031,Y,00854997,에스디바이오센서,7,3,-,-,-,2021-12-31,2021,outside_director
20250822000225,Y,00854997,에스디바이오센서,7,4,1,-,-,2022-12-31,2022,outside_director
20250822000247,Y,00854997,에스디바이오센서,7,4,3,-,-,2023-12-31,2023,outside_director
20250822000274,Y,00854997,에스디바이오센서,7,4,-,-,-,2024-12-31,2024,outside_director
20210315000830,Y,00564562,엠씨넥스,3,1,-,-,-,2020-12-31,2020,outside_director
20220315000841,Y,00564562,엠씨넥스,6,3,2,-,-,2021-12-31,2021,outside_director
20230314000700,Y,00564562,엠씨넥스,5,3,1,-,-,2022-12-31,2022,outside_director
20240318000671,Y,00564562,엠씨넥스,5,3,-,-,-,2023-12-31,2023,outside_director
20250318001032,Y,00564562,엠씨넥스,5,3,-,-,-,2024-12-31,2024,outside_director
