variable,count,mean,std,min,25%,50%,75%,max
CorrectionDummy,4977.0,0.19931685754470566,0.39952686983202484,0.0,0.0,0.0,0.0,1.0
CorrectionCount,4977.0,0.2943540285312437,0.8265795738107635,0.0,0.0,0.0,0.0,13.0
MaterialCorrectionDummy,4977.0,0.06951979103877838,0.25436153295943553,0.0,0.0,0.0,0.0,1.0
MaterialCorrectionCount,4977.0,0.09363070122563794,0.45460489833591483,0.0,0.0,0.0,0.0,10.0
NonAuditFeeRatio,1155.0,0.10380031974935615,0.3219451842250347,0.0,0.0,0.0,0.09058738202437693,4.814814814814815
LogAuditFee,1188.0,10.479744315313761,4.637293160430456,1.0986122886681098,6.184148890937483,11.76756768334381,12.920244949709847,21.247994365881393
LogNonAuditFee,4977.0,3.251162790738671,4.84069205045033,0.0,0.0,0.0,5.2652775124698366,20.61870751611093
Big4Auditor,4631.0,0.5337939969768949,0.4989105278394213,0.0,0.0,1.0,1.0,1.0
CleanOpinion,4631.0,0.8859857482185273,0.3178628944486179,0.0,1.0,1.0,1.0,1.0
OutsideDirectorRatio,3321.0,0.4390255391836241,0.14959793446131744,0.0,0.3333333333333333,0.42857142857142855,0.5714285714285714,1.0
BoardSize,3339.0,5.784366576819407,2.0091718941426326,1.0,4.0,6.0,7.0,15.0
OutsideDirectorCount,3333.0,2.6306630663066306,1.411488856032282,0.0,1.0,3.0,3.0,9.0
LargestShareholderOwnership,4632.0,44.42077504317789,16.581939304644497,2.0,32.7775,45.01,55.445,100.0
MinorityShareholderRatio,3.0,64.66666666666667,38.99145205469185,21.0,49.0,77.0,86.5,96.0
MinorityShareholderCount,4449.0,46581.50101146325,188683.20346046326,10.0,6976.0,14815.0,32057.0,5813977.0
LogAssets,4611.0,27.32182780763328,1.6615125876609793,18.6561550461162,26.24430889105669,27.082165474836497,28.19883330651595,33.874278764512916
Leverage,4610.0,0.46218883527442917,0.20928862364542794,0.017781295150886323,0.29540221694560065,0.4723548545267222,0.6158354397681091,1.2590652687644954
ROA,4610.0,0.014674611833387113,0.09105294640260751,-1.3752547035828149,-0.0030925850345742438,0.023248093591923813,0.0517773365388427,1.7185523551559234
Loss,4611.0,0.2648015614834092,0.44127533901392707,0.0,0.0,0.0,1.0,1.0
