variable,missing_rate
MinorityShareholderRatio,0.9993972272453285
NonAuditFeeRatio,0.7679324894514767
LogAuditFee,0.7613019891500904
OutsideDirectorRatio,0.33273056057866185
OutsideDirectorCount,0.3303194695599759
BoardSize,0.3291139240506329
MinorityShareholderCount,0.10608800482218204
ROA,0.0737392003214788
Leverage,0.0737392003214788
Loss,0.07353827606992164
LogAssets,0.07353827606992164
Big4Auditor,0.06951979103877838
CleanOpinion,0.06951979103877838
LargestShareholderOwnership,0.06931886678722121
CorrectionDummy,0.0
MaterialCorrectionDummy,0.0
CorrectionCount,0.0
MaterialCorrectionCount,0.0
LogNonAuditFee,0.0
