sector,n_firm_years,correction_rate,correction_count_mean
1차 철강 제조업,35,0.05714285714285714,0.05714285714285714
기타 화학제품 제조업,21,0.14285714285714285,0.47619047619047616
일차전지 및 이차전지 제조업,21,0.14285714285714285,0.14285714285714285
특수 목적용 기계 제조업,21,0.0,0.0
"건축기술, 엔지니어링 및 관련 기술 서비스업",14,0.21428571428571427,0.2857142857142857
운송장비 임대업,14,0.35714285714285715,0.5
의료용 기기 제조업,14,0.14285714285714285,0.14285714285714285
기초 화학물질 제조업,14,0.07142857142857142,0.07142857142857142
소프트웨어 개발 및 공급업,14,0.21428571428571427,0.8571428571428571
선박 및 보트 건조업,14,0.0,0.0
종합 소매업,14,0.0,0.0
"내화, 비내화 요업제품 제조업",7,0.14285714285714285,0.14285714285714285
그외 기타 운송장비 제조업,7,0.14285714285714285,0.14285714285714285
반도체 제조업,7,0.0,0.0
기타 정보 서비스업,7,0.0,0.0
건물 건설업,7,0.0,0.0
"가죽, 가방 및 유사제품 제조업",7,0.0,0.0
유원지 및 기타 오락관련 서비스업,7,0.14285714285714285,0.14285714285714285
영상 및 음향기기 제조업,7,0.0,0.0
상품 종합 도매업,7,0.0,0.0
의료용품 및 기타 의약 관련제품 제조업,7,0.14285714285714285,0.2857142857142857
자동차 판매업,7,0.2857142857142857,0.2857142857142857
전기 및 통신 공사업,7,0.0,0.0
의약품 제조업,7,0.0,0.0
일반 목적용 기계 제조업,7,0.0,0.0
전자부품 제조업,7,0.42857142857142855,0.7142857142857143
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",7,0.0,0.0
제재 및 목재 가공업,7,0.0,0.0
절연선 및 케이블 제조업,7,0.0,0.0
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",7,0.14285714285714285,0.14285714285714285
통신 및 방송 장비 제조업,7,0.0,0.0
플라스틱제품 제조업,7,0.0,0.0
해상 운송업,7,0.0,0.0
