stock_code,corp_name,market,market_raw,sector,main_products,listing_date,fiscal_month,region,is_financial_narrow,is_financial_conservative,exclude_reason,is_standard_stock_code
477850,마키나락스,KOSDAQ,코스닥,소프트웨어 개발 및 공급업,Runway Platform (산업특화 인공지능 개발 및 운영 체계 구축 플랫폼),2026-05-20,12월,서울특별시,False,False,,True
288180,케이피항공산업,KOSDAQ,코스닥,"항공기,우주선 및 부품 제조업",항공기 및 우주 방산 구조물 제작,2026-05-19,12월,경상남도,False,False,,True
487580,폴레드,KOSDAQ,코스닥,가정용 기기 제조업,"유아용품(카시트 및 관련 악세서리, 유아가전 등)",2026-05-14,12월,충청남도,False,False,,True
439960,코스모로보틱스,KOSDAQ,코스닥,의료용 기기 제조업,웨어러블 로봇,2026-05-11,12월,서울특별시,False,False,,True
001290,신한제18호스팩,KOSDAQ,코스닥,금융 지원 서비스업,금융 지원 서비스업,2026-04-30,12월,서울특별시,True,True,금융,True
000110,채비,KOSDAQ,코스닥,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","전기차 충전 서비스, 전기차 충전기",2026-04-29,12월,대구광역시,False,False,,True
000700,에스테크엠,KONEX,코넥스,특수 목적용 기계 제조업,이차전지 장비,2026-04-27,12월,경기도,False,False,,True
001310,키움히어로제2호스팩,KOSDAQ,코스닥,금융 지원 서비스업,기업 인수 합병,2026-04-23,12월,서울특별시,True,True,금융,True
000100,보원케미칼,KOSDAQ,코스닥,플라스틱제품 제조업,"차량 내장재용 표면소재, SPC바닥재 등",2026-04-03,12월,충청북도,False,False,,True
001320,교보20호스팩,KOSDAQ,코스닥,기타 금융업,기업 인수 및 합병,2026-04-02,12월,서울특별시,True,True,금융,True
000070,인벤테라,KOSDAQ,코스닥,자연과학 및 공학 연구개발업,철(Fe) 기반 질환 특이성 나노-MRI 조영제 신약,2026-04-02,12월,서울특별시,False,False,,True
001300,신한제17호스팩,KOSDAQ,코스닥,금융 지원 서비스업,금융지원 서비스업,2026-04-01,12월,서울특별시,True,True,금융,True
394420,리센스메디컬,KOSDAQ,코스닥,의료용 기기 제조업,"피부 냉각마취 의료기기, 경피약물전달 의료기기, 동물용 경피약물전달 의료기기, 안구 냉각마취 의료기기",2026-03-31,12월,경기도,False,False,,True
001300,엔에이치스팩33호,KOSDAQ,코스닥,금융 지원 서비스업,기업인수,2026-03-27,12월,서울특별시,True,True,금융,True
000880,메쥬,KOSDAQ,코스닥,의료용 기기 제조업,웨어러블 패치형 환자 감시장치(HiCardi),2026-03-26,12월,강원특별자치도,False,False,,True
408470,한패스,KOSDAQ,코스닥,기타 금융업,"디지털 송금 서비스, 전자지갑 서비스, 선불카드 서비스",2026-03-25,12월,서울특별시,True,True,금융,True
493280,아이엠바이오로직스,KOSDAQ,코스닥,자연과학 및 공학 연구개발업,"IMB-101 (OX40L/TNF 타깃 자가면역질환 치료용 이중항체), IMB-102 (OX40L 타깃 자가면역질환 치료용 단일항체)",2026-03-20,12월,경기도,False,False,,True
000820,카나프테라퓨틱스,KOSDAQ,코스닥,자연과학 및 공학 연구개발업,항암제 및 안과 질환 치료제 개발,2026-03-16,12월,서울특별시,False,False,,True
000110,액스비스,KOSDAQ,코스닥,기타 전기장비 제조업,지능형 고출력 레이저 솔루션 등,2026-03-09,12월,대전광역시,False,False,,True
458350,에스팀,KOSDAQ,코스닥,기타 사업지원 서비스업,"콘텐츠, 매니지먼트",2026-03-06,12월,서울특별시,False,False,,True
279570,케이뱅크,KOSPI,유가,은행 및 저축기관,은행 및 저축기관,2026-03-05,12월,서울특별시,True,True,은행,True
