corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,filing_year,query_bgn_de,query_end_de
00222213,피케이엘,039870,E,[첨부추가]사업보고서 (2018.10),20190129000255,피케이엘,20190129,정연,2019,20190101,20190131
01113930,보아스에셋,,E,반기보고서 (2018.06),20190129000139,보아스에셋,20190129,,2019,20190101,20190131
01113930,보아스에셋,,E,분기보고서 (2018.03),20190129000138,보아스에셋,20190129,,2019,20190101,20190131
00755739,파인테크닉스,106240,K,[기재정정]사업보고서 (2012.12),20190128000358,파인테크닉스,20190128,연,2019,20190101,20190131
00865382,트러스와이제7호위탁관리부동산투자회사,140890,E,사업보고서 (2018.10),20190128000086,트러스와이제7호위탁관리부동산투자회사,20190128,,2019,20190101,20190131
00329446,뉴비지니스시스템,,E,사업보고서 (2018.10),20190128000082,뉴비지니스시스템,20190128,,2019,20190101,20190131
01041828,JTC,950170,K,분기보고서 (2018.11),20190125000588,JTC,20190125,,2019,20190101,20190131
00760971,크래프톤,259960,Y,[기재정정]분기보고서 (2018.09),20190125000572,크래프톤,20190125,정,2019,20190101,20190131
00760971,크래프톤,259960,Y,[기재정정]반기보고서 (2018.06),20190125000564,크래프톤,20190125,정,2019,20190101,20190131
00760971,크래프톤,259960,Y,[기재정정]분기보고서 (2018.03),20190125000561,크래프톤,20190125,정,2019,20190101,20190131
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2017.12),20190125000554,크래프톤,20190125,정,2019,20190101,20190131
00760971,크래프톤,259960,Y,[기재정정]분기보고서 (2017.09),20190125000548,크래프톤,20190125,정,2019,20190101,20190131
00760971,크래프톤,259960,Y,[기재정정]반기보고서 (2017.06),20190125000539,크래프톤,20190125,정,2019,20190101,20190131
00760971,크래프톤,259960,Y,[기재정정]분기보고서 (2017.03),20190125000529,크래프톤,20190125,정,2019,20190101,20190131
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2016.12),20190125000518,크래프톤,20190125,정연,2019,20190101,20190131
00265005,옴니시스템,057540,K,[기재정정]분기보고서 (2018.09),20190123000293,옴니시스템,20190123,,2019,20190101,20190131
00361594,DMS,068790,K,[기재정정]분기보고서 (2018.09),20190123000284,DMS,20190123,,2019,20190101,20190131
00361594,DMS,068790,K,[기재정정]반기보고서 (2018.06),20190123000282,DMS,20190123,,2019,20190101,20190131
00361594,DMS,068790,K,[기재정정]분기보고서 (2018.03),20190123000280,DMS,20190123,,2019,20190101,20190131
01065785,노브메타파마,229500,N,[기재정정]사업보고서 (2017.12),20190122000236,노브메타파마,20190122,연,2019,20190101,20190131
00255257,현대아산,,E,[기재정정]분기보고서 (2018.09),20190121000109,현대아산,20190121,,2019,20190101,20190131
00526951,신화프리텍,095190,K,[기재정정]분기보고서 (2018.09),20190121000097,신화프리텍,20190121,,2019,20190101,20190131
01064069,토박스코리아,215480,K,[기재정정]분기보고서 (2018.09),20190121000073,토박스코리아,20190121,,2019,20190101,20190131
00623184,오늘이엔엠,192410,K,[기재정정]사업보고서 (2017.12),20190118000276,오늘이엔엠,20190118,연,2019,20190101,20190131
00623184,오늘이엔엠,192410,K,[기재정정]사업보고서 (2017.12),20190118000193,오늘이엔엠,20190118,정연,2019,20190101,20190131
00109718,사조대림,003960,Y,[기재정정]사업보고서 (2017.12),20190117000236,사조대림,20190117,연,2019,20190101,20190131
00623184,오늘이엔엠,192410,K,[기재정정]사업보고서 (2017.12),20190116000327,오늘이엔엠,20190116,정연,2019,20190101,20190131
00105244,알보젠코리아,002250,E,[기재정정]사업보고서 (2017.12),20190115000240,알보젠코리아,20190115,,2019,20190101,20190131
00326731,바이오니아,064550,K,[기재정정]반기보고서 (2018.06),20190114000067,바이오니아,20190114,,2019,20190101,20190131
00326731,바이오니아,064550,K,[기재정정]분기보고서 (2018.03),20190114000061,바이오니아,20190114,,2019,20190101,20190131
00326731,바이오니아,064550,K,[기재정정]사업보고서 (2017.12),20190114000055,바이오니아,20190114,연,2019,20190101,20190131
00480783,상신이디피,091580,K,[기재정정]사업보고서 (2017.12),20190111000538,상신이디피,20190111,연,2019,20190101,20190131
00480783,상신이디피,091580,K,[기재정정]사업보고서 (2017.12),20190111000517,상신이디피,20190111,정연,2019,20190101,20190131
00155373,풍강,093380,K,분기보고서 (2018.11),20190111000477,풍강,20190111,,2019,20190101,20190131
01298930,사운드백신,,E,사업보고서 (2017.12),20190110000308,사운드백신,20190110,,2019,20190101,20190131
00660033,씨엔플러스,115530,K,[기재정정]분기보고서 (2018.09),20190109000231,씨엔플러스,20190109,,2019,20190101,20190131
00660033,씨엔플러스,115530,K,[기재정정]분기보고서 (2018.03),20190109000227,씨엔플러스,20190109,,2019,20190101,20190131
00409964,하이텍팜,106190,K,[기재정정]분기보고서 (2018.09),20190108000419,하이텍팜,20190108,,2019,20190101,20190131
00409964,하이텍팜,106190,K,[기재정정]반기보고서 (2018.06),20190108000412,하이텍팜,20190108,,2019,20190101,20190131
00409964,하이텍팜,106190,K,[기재정정]분기보고서 (2018.03),20190108000405,하이텍팜,20190108,,2019,20190101,20190131
00409964,하이텍팜,106190,K,[기재정정]사업보고서 (2017.12),20190108000402,하이텍팜,20190108,,2019,20190101,20190131
00409964,하이텍팜,106190,K,[기재정정]분기보고서 (2017.09),20190108000398,하이텍팜,20190108,,2019,20190101,20190131
00409964,하이텍팜,106190,K,[기재정정]반기보고서 (2017.06),20190108000392,하이텍팜,20190108,,2019,20190101,20190131
00409964,하이텍팜,106190,K,[기재정정]분기보고서 (2017.03),20190108000390,하이텍팜,20190108,,2019,20190101,20190131
00660033,씨엔플러스,115530,K,[기재정정]반기보고서 (2018.06),20190104000332,씨엔플러스,20190104,,2019,20190101,20190131
00273615,비케이탑스,030790,E,[첨부정정]사업보고서 (2017.12),20190102000325,비케이탑스,20190102,연,2019,20190101,20190131
01264234,엘에이티,311060,N,사업보고서 (2017.12),20190102000129,엘에이티,20190102,,2019,20190101,20190131
00164706,현대약품,004310,Y,사업보고서 (2018.11),20190228006730,현대약품,20190228,정,2019,20190201,20190228
00430089,삼보오토,070080,E,사업보고서 (2018.12),20190228006645,삼보오토,20190228,정,2019,20190201,20190228
00225159,SNT홀딩스,036530,Y,사업보고서 (2018.12),20190228005738,SNT홀딩스,20190228,연,2019,20190201,20190228
00398792,SNT모티브,064960,Y,사업보고서 (2018.12),20190228005479,SNT모티브,20190228,연,2019,20190201,20190228
00134477,SNT다이내믹스,003570,Y,사업보고서 (2018.12),20190228005328,SNT다이내믹스,20190228,연,2019,20190201,20190228
01082834,노무라인터내셔널펀딩피티이,,E,분기보고서 (2018.12),20190228005290,노무라인터내셔널펀딩피티이,20190228,정,2019,20190201,20190228
00648721,SNT에너지,100840,Y,사업보고서 (2018.12),20190228005250,SNT에너지,20190228,,2019,20190201,20190228
00261814,삼정데이타서비스,,E,소액공모법인결산서류 (2018.12),20190228003601,삼정데이타서비스,20190228,,2019,20190201,20190228
01101254,케이피항공산업,288180,K,사업보고서 (2018.12),20190228001168,케이피항공산업,20190228,,2019,20190201,20190228
00120289,제이에스티나,026040,K,[기재정정]분기보고서 (2018.09),20190227004635,제이에스티나,20190227,,2019,20190201,20190228
01170962,GRT,900290,K,반기보고서 (2018.12),20190227000474,GRT,20190227,,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]분기보고서 (2018.09),20190225002824,무학,20190225,,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]반기보고서 (2018.06),20190225002801,무학,20190225,,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]분기보고서 (2018.03),20190225002679,무학,20190225,,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]사업보고서 (2017.12),20190225002450,무학,20190225,연,2019,20190201,20190228
00146719,일화모직공업,001590,E,사업보고서 (2018.11),20190225002262,일화모직공업,20190225,정,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]분기보고서 (2017.09),20190225002186,무학,20190225,,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]반기보고서 (2017.06),20190225002138,무학,20190225,,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]분기보고서 (2017.03),20190225002125,무학,20190225,,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]사업보고서 (2016.12),20190225001840,무학,20190225,연,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]분기보고서 (2016.09),20190225001790,무학,20190225,,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]반기보고서 (2016.06),20190225001685,무학,20190225,,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]분기보고서 (2016.03),20190225001565,무학,20190225,,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]사업보고서 (2015.12),20190225001503,무학,20190225,연,2019,20190201,20190228
00586120,푸르덴셜파이낸셜인크,,E,사업보고서 (2018.12),20190225001308,푸르덴셜파이낸셜인크,20190225,연,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]분기보고서 (2015.09),20190225001257,무학,20190225,,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]반기보고서 (2015.06),20190225001238,무학,20190225,,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]분기보고서 (2015.03),20190225001224,무학,20190225,,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]사업보고서 (2014.12),20190225001198,무학,20190225,연,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]분기보고서 (2014.09),20190225000912,무학,20190225,,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]반기보고서 (2014.06),20190225000906,무학,20190225,,2019,20190201,20190228
00121543,무학,033920,Y,[기재정정]분기보고서 (2014.03),20190225000609,무학,20190225,,2019,20190201,20190228
00608802,텔콘RF제약,200230,K,[기재정정]분기보고서 (2018.09),20190222001697,텔콘RF제약,20190222,,2019,20190201,20190228
00608802,텔콘RF제약,200230,K,[기재정정]반기보고서 (2018.06),20190222001690,텔콘RF제약,20190222,,2019,20190201,20190228
00608802,텔콘RF제약,200230,K,[기재정정]분기보고서 (2018.03),20190222001680,텔콘RF제약,20190222,,2019,20190201,20190228
00608802,텔콘RF제약,200230,K,[기재정정]사업보고서 (2017.12),20190222001675,텔콘RF제약,20190222,연,2019,20190201,20190228
00608802,텔콘RF제약,200230,K,[기재정정]분기보고서 (2017.09),20190222001674,텔콘RF제약,20190222,,2019,20190201,20190228
00608802,텔콘RF제약,200230,K,[기재정정]반기보고서 (2017.06),20190222001671,텔콘RF제약,20190222,,2019,20190201,20190228
00608802,텔콘RF제약,200230,K,[기재정정]분기보고서 (2017.03),20190222001668,텔콘RF제약,20190222,,2019,20190201,20190228
00608802,텔콘RF제약,200230,K,[기재정정]사업보고서 (2016.12),20190222001664,텔콘RF제약,20190222,연,2019,20190201,20190228
00608802,텔콘RF제약,200230,K,[기재정정]분기보고서 (2016.09),20190222001661,텔콘RF제약,20190222,,2019,20190201,20190228
00139685,양지사,030960,K,반기보고서 (2018.12),20190214001089,양지사,20190214,,2019,20190201,20190228
00323549,리딩투자증권,,E,분기보고서 (2018.12),20190214001085,리딩투자증권,20190214,정,2019,20190201,20190228
00134316,세원정공,021820,Y,반기보고서 (2018.12),20190214001076,세원정공,20190214,정,2019,20190201,20190228
00367385,효성오앤비,097870,K,반기보고서 (2018.12),20190214001040,효성오앤비,20190214,,2019,20190201,20190228
00141626,오리엔트바이오,002630,Y,분기보고서 (2018.12),20190214001033,오리엔트바이오,20190214,,2019,20190201,20190228
00441243,형지엘리트,093240,Y,반기보고서 (2018.12),20190214001020,형지엘리트,20190214,,2019,20190201,20190228
00157104,대동전자,008110,E,분기보고서 (2018.12),20190214000989,대동전자,20190214,,2019,20190201,20190228
00106614,기신정기,092440,Y,분기보고서 (2018.12),20190214000985,기신정기,20190214,,2019,20190201,20190228
00136101,메이슨캐피탈,021880,K,분기보고서 (2018.12),20190214000964,메이슨캐피탈,20190214,,2019,20190201,20190228
00110750,플루토스,019570,K,분기보고서 (2018.12),20190214000865,플루토스,20190214,,2019,20190201,20190228
00136721,신영증권,001720,Y,분기보고서 (2018.12),20190214000858,신영증권,20190214,,2019,20190201,20190228
00125576,체시스,033250,Y,반기보고서 (2018.12),20190214000856,체시스,20190214,,2019,20190201,20190228
00356839,메디콕스,054180,K,반기보고서 (2018.12),20190214000847,메디콕스,20190214,,2019,20190201,20190228
00145914,인터엠,017250,K,분기보고서 (2018.12),20190214000837,인터엠,20190214,,2019,20190201,20190228
00138747,아세아텍,050860,K,반기보고서 (2018.12),20190214000833,아세아텍,20190214,,2019,20190201,20190228
00168401,금비,008870,Y,분기보고서 (2018.12),20190214000814,금비,20190214,,2019,20190201,20190228
00298687,스포츠서울,039670,E,분기보고서 (2018.12),20190214000807,스포츠서울,20190214,,2019,20190201,20190228
00136341,신성통상,005390,E,반기보고서 (2018.12),20190214000806,신성통상,20190214,,2019,20190201,20190228
00159573,한국주철관공업,000970,Y,분기보고서 (2018.12),20190214000801,한국주철관공업,20190214,,2019,20190201,20190228
00122205,졸스,018700,K,분기보고서 (2018.12),20190214000779,졸스,20190214,,2019,20190201,20190228
