fiscal_year,corp_code,corp_name,stock_code,market,sector,n_annual_report_filings,n_annual_corrections,any_correction
2018,00100939,강남제비스코,000860,KOSPI,기타 화학제품 제조업,1,0,0
2018,00101044,에이프로젠바이오로직스,003060,KOSPI,의약품 제조업,2,1,1
2018,00101220,KG케미칼,001390,KOSPI,기초 화학물질 제조업,1,0,0
2018,00101433,경농,002100,KOSPI,"비료, 농약 및 살균, 살충제 제조업",2,1,1
2018,00101488,경동나비엔,009450,KOSPI,가정용 기기 제조업,1,0,0
2018,00101628,경방,000050,KOSPI,종합 소매업,1,0,0
2018,00101664,경보제약,214390,KOSPI,기초 의약물질 제조업,1,0,0
2018,00102113,경인양행,012610,KOSPI,기초 화학물질 제조업,1,0,0
2018,00102140,경인전자,009140,KOSPI,전자부품 제조업,1,0,0
2018,00102432,계룡건설산업,013580,KOSPI,토목 건설업,2,1,1
2018,00102618,계양전기,012200,KOSPI,일반 목적용 기계 제조업,1,0,0
2018,00102751,고려산업,002140,KOSPI,"곡물가공품, 전분 및 전분제품 제조업",1,0,0
2018,00102858,고려아연,010130,KOSPI,1차 비철금속 제조업,1,0,0
2018,00103006,고려제강,002240,KOSPI,1차 철강 제조업,2,1,1
2018,00103042,케이씨티시,009070,KOSPI,도로 화물 운송업,1,0,0
2018,00103130,플레이그램,009810,KOSPI,기타 전문 도매업,1,0,0
2018,00103176,흥국화재,000540,KOSPI,보험업,1,0,0
2018,00103510,인지컨트롤스,023800,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00103592,광동제약,009290,KOSPI,의약품 제조업,1,0,0
2018,00103662,광명전기,017040,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",3,2,1
2018,00104388,국도화학,007690,KOSPI,기초 화학물질 제조업,1,0,0
2018,00104698,LS네트웍스,000680,KOSPI,상품 종합 도매업,2,1,1
2018,00104722,국제약품,002720,KOSPI,의약품 제조업,1,0,0
2018,00104768,가온전선,000500,KOSPI,절연선 및 케이블 제조업,2,1,1
