corp_code,stock_code,corp_name,market,sector,fiscal_year,n_annual_report_filings,has_annual_report_in_dart_universe
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2018,,False
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2019,,False
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2020,,False
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2021,,False
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2022,,False
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2023,,False
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2024,,False
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2018,1.0,True
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2019,1.0,True
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2020,1.0,True
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2021,1.0,True
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2022,1.0,True
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2023,1.0,True
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2024,1.0,True
00179489,317450,명인제약,KOSPI,의약품 제조업,2018,,False
00179489,317450,명인제약,KOSPI,의약품 제조업,2019,,False
00179489,317450,명인제약,KOSPI,의약품 제조업,2020,,False
00179489,317450,명인제약,KOSPI,의약품 제조업,2021,,False
00179489,317450,명인제약,KOSPI,의약품 제조업,2022,,False
00179489,317450,명인제약,KOSPI,의약품 제조업,2023,,False
00179489,317450,명인제약,KOSPI,의약품 제조업,2024,,False
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2018,,False
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2019,,False
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2020,,False
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2021,,False
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2022,,False
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2023,,False
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2024,,False
01649204,483650,달바글로벌,KOSPI,기타 화학제품 제조업,2018,,False
01649204,483650,달바글로벌,KOSPI,기타 화학제품 제조업,2019,,False
01649204,483650,달바글로벌,KOSPI,기타 화학제품 제조업,2020,,False
01649204,483650,달바글로벌,KOSPI,기타 화학제품 제조업,2021,,False
01649204,483650,달바글로벌,KOSPI,기타 화학제품 제조업,2022,,False
01649204,483650,달바글로벌,KOSPI,기타 화학제품 제조업,2023,,False
01649204,483650,달바글로벌,KOSPI,기타 화학제품 제조업,2024,1.0,True
01210677,480370,씨케이솔루션,KOSPI,일반 목적용 기계 제조업,2018,,False
01210677,480370,씨케이솔루션,KOSPI,일반 목적용 기계 제조업,2019,,False
01210677,480370,씨케이솔루션,KOSPI,일반 목적용 기계 제조업,2020,,False
01210677,480370,씨케이솔루션,KOSPI,일반 목적용 기계 제조업,2021,,False
01210677,480370,씨케이솔루션,KOSPI,일반 목적용 기계 제조업,2022,,False
01210677,480370,씨케이솔루션,KOSPI,일반 목적용 기계 제조업,2023,,False
01210677,480370,씨케이솔루션,KOSPI,일반 목적용 기계 제조업,2024,1.0,True
00139834,064400,LG씨엔에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2018,1.0,True
00139834,064400,LG씨엔에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2019,1.0,True
00139834,064400,LG씨엔에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2020,1.0,True
00139834,064400,LG씨엔에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2021,2.0,True
00139834,064400,LG씨엔에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2022,1.0,True
00139834,064400,LG씨엔에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2023,1.0,True
00139834,064400,LG씨엔에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",2024,1.0,True
01519790,484870,엠앤씨솔루션,KOSPI,특수 목적용 기계 제조업,2018,,False
01519790,484870,엠앤씨솔루션,KOSPI,특수 목적용 기계 제조업,2019,,False
01519790,484870,엠앤씨솔루션,KOSPI,특수 목적용 기계 제조업,2020,,False
01519790,484870,엠앤씨솔루션,KOSPI,특수 목적용 기계 제조업,2021,,False
01519790,484870,엠앤씨솔루션,KOSPI,특수 목적용 기계 제조업,2022,,False
01519790,484870,엠앤씨솔루션,KOSPI,특수 목적용 기계 제조업,2023,,False
01519790,484870,엠앤씨솔루션,KOSPI,특수 목적용 기계 제조업,2024,1.0,True
00968607,475560,더본코리아,KOSPI,상품 종합 도매업,2018,,False
00968607,475560,더본코리아,KOSPI,상품 종합 도매업,2019,,False
00968607,475560,더본코리아,KOSPI,상품 종합 도매업,2020,,False
00968607,475560,더본코리아,KOSPI,상품 종합 도매업,2021,,False
00968607,475560,더본코리아,KOSPI,상품 종합 도매업,2022,,False
00968607,475560,더본코리아,KOSPI,상품 종합 도매업,2023,,False
00968607,475560,더본코리아,KOSPI,상품 종합 도매업,2024,1.0,True
01867758,489790,한화비전,KOSPI,통신 및 방송 장비 제조업,2018,,False
01867758,489790,한화비전,KOSPI,통신 및 방송 장비 제조업,2019,,False
01867758,489790,한화비전,KOSPI,통신 및 방송 장비 제조업,2020,,False
01867758,489790,한화비전,KOSPI,통신 및 방송 장비 제조업,2021,,False
01867758,489790,한화비전,KOSPI,통신 및 방송 장비 제조업,2022,,False
01867758,489790,한화비전,KOSPI,통신 및 방송 장비 제조업,2023,,False
01867758,489790,한화비전,KOSPI,통신 및 방송 장비 제조업,2024,1.0,True
00372129,079900,전진건설로봇,KOSPI,특수 목적용 기계 제조업,2018,,False
00372129,079900,전진건설로봇,KOSPI,특수 목적용 기계 제조업,2019,,False
00372129,079900,전진건설로봇,KOSPI,특수 목적용 기계 제조업,2020,,False
00372129,079900,전진건설로봇,KOSPI,특수 목적용 기계 제조업,2021,,False
00372129,079900,전진건설로봇,KOSPI,특수 목적용 기계 제조업,2022,,False
00372129,079900,전진건설로봇,KOSPI,특수 목적용 기계 제조업,2023,,False
00372129,079900,전진건설로봇,KOSPI,특수 목적용 기계 제조업,2024,1.0,True
00366438,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2018,,False
00366438,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2019,,False
00366438,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2020,,False
00366438,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2021,,False
00366438,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2022,,False
00366438,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2023,,False
00366438,062040,산일전기,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2024,2.0,True
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2018,,False
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2019,,False
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2020,,False
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2021,,False
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2022,,False
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2023,,False
01384787,462870,시프트업,KOSPI,소프트웨어 개발 및 공급업,2024,1.0,True
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2018,1.0,True
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2019,1.0,True
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2020,2.0,True
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2021,1.0,True
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2022,1.0,True
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2023,1.0,True
00171265,034230,파라다이스,KOSPI,유원지 및 기타 오락관련 서비스업,2024,4.0,True
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2018,,False
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2019,,False
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2020,,False
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2021,,False
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2022,,False
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2023,,False
01194689,443060,HD현대마린솔루션,KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",2024,3.0,True
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2018,,False
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2019,,False
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2020,,False
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2021,,False
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2022,,False
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2023,,False
01817081,475150,SK이터닉스,KOSPI,건물 건설업,2024,1.0,True
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2018,4.0,True
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2019,6.0,True
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2020,1.0,True
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2021,1.0,True
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2022,1.0,True
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2023,1.0,True
01190568,278470,에이피알,KOSPI,기타 화학제품 제조업,2024,1.0,True
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2018,1.0,True
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2019,1.0,True
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2020,1.0,True
00398701,066970,엘앤에프,KOSPI,일차전지 및 이차전지 제조업,2021,1.0,True
