corp_code,stock_code,corp_name,market,sector,fiscal_year
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2018
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2019
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2020
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2021
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2022
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2023
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2024
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2018
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2019
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2020
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2021
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2022
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2023
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2024
00179489,317450,명인제약,KOSPI,의약품 제조업,2018
00179489,317450,명인제약,KOSPI,의약품 제조업,2019
00179489,317450,명인제약,KOSPI,의약품 제조업,2020
00179489,317450,명인제약,KOSPI,의약품 제조업,2021
00179489,317450,명인제약,KOSPI,의약품 제조업,2022
00179489,317450,명인제약,KOSPI,의약품 제조업,2023
00179489,317450,명인제약,KOSPI,의약품 제조업,2024
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2018
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2019
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2020
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2021
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2022
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2023
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2024
01649204,483650,달바글로벌,KOSPI,기타 화학제품 제조업,2018
01649204,483650,달바글로벌,KOSPI,기타 화학제품 제조업,2019
01649204,483650,달바글로벌,KOSPI,기타 화학제품 제조업,2020
