corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,fiscal_year,filing_year
00949161,티엠씨,217590,Y,분기보고서 (2025.09),20251218000217,티엠씨,20251218,,2024,2025
00131054,유진증권,001200,Y,분기보고서 (2019.09),20191114001223,유진증권,20191114,,2018,2019
00131054,유진증권,001200,Y,반기보고서 (2019.06),20190814001368,유진증권,20190814,,2018,2019
00131054,유진증권,001200,Y,분기보고서 (2019.03),20190515001504,유진증권,20190515,,2018,2019
00131054,유진증권,001200,Y,사업보고서 (2018.12),20190401002982,유진증권,20190401,연,2018,2019
00131054,유진증권,001200,Y,분기보고서 (2020.09),20201116001000,유진증권,20201116,,2019,2020
00131054,유진증권,001200,Y,반기보고서 (2020.06),20200814001394,유진증권,20200814,,2019,2020
00131054,유진증권,001200,Y,분기보고서 (2020.03),20200515001135,유진증권,20200515,,2019,2020
00131054,유진증권,001200,Y,사업보고서 (2019.12),20200330002456,유진증권,20200330,연,2019,2020
00131054,유진증권,001200,Y,분기보고서 (2021.09),20211115001175,유진증권,20211115,,2020,2021
00131054,유진증권,001200,Y,반기보고서 (2021.06),20210817001250,유진증권,20210817,,2020,2021
00131054,유진증권,001200,Y,분기보고서 (2021.03),20210517001014,유진증권,20210517,,2020,2021
00131054,유진증권,001200,Y,사업보고서 (2020.12),20210317000664,유진증권,20210317,연,2020,2021
00131054,유진증권,001200,Y,분기보고서 (2022.09),20221114001223,유진증권,20221114,,2021,2022
00131054,유진증권,001200,Y,반기보고서 (2022.06),20220816001215,유진증권,20220816,,2021,2022
00131054,유진증권,001200,Y,분기보고서 (2022.03),20220516001218,유진증권,20220516,,2021,2022
00131054,유진증권,001200,Y,사업보고서 (2021.12),20220316000791,유진증권,20220316,연,2021,2022
00131054,유진증권,001200,Y,분기보고서 (2023.09),20231114001169,유진증권,20231114,,2022,2023
00131054,유진증권,001200,Y,반기보고서 (2023.06),20230814002054,유진증권,20230814,,2022,2023
00131054,유진증권,001200,Y,분기보고서 (2023.03),20230515001407,유진증권,20230515,,2022,2023
00131054,유진증권,001200,Y,사업보고서 (2022.12),20230315000887,유진증권,20230315,연,2022,2023
00131054,유진증권,001200,Y,분기보고서 (2024.09),20241114001515,유진증권,20241114,,2023,2024
00131054,유진증권,001200,Y,반기보고서 (2024.06),20240814002927,유진증권,20240814,,2023,2024
00131054,유진증권,001200,Y,분기보고서 (2024.03),20240516001263,유진증권,20240516,,2023,2024
00131054,유진증권,001200,Y,사업보고서 (2023.12),20240318000590,유진증권,20240318,연,2023,2024
00131054,유진증권,001200,Y,분기보고서 (2025.09),20251114001845,유진증권,20251114,,2024,2025
00131054,유진증권,001200,Y,반기보고서 (2025.06),20250814003115,유진증권,20250814,,2024,2025
00131054,유진증권,001200,Y,분기보고서 (2025.03),20250515001782,유진증권,20250515,,2024,2025
00131054,유진증권,001200,Y,사업보고서 (2024.12),20250318000789,유진증권,20250318,연,2024,2025
00179489,명인제약,317450,Y,분기보고서 (2025.09),20251112000453,명인제약,20251112,,2024,2025
00182696,대한조선,439260,Y,분기보고서 (2025.09),20251114000487,대한조선,20251114,,2024,2025
00182696,대한조선,439260,Y,반기보고서 (2025.06),20250814001141,대한조선,20250814,,2024,2025
01649204,달바글로벌,483650,Y,[기재정정]분기보고서 (2024.09),20241125000168,달바글로벌,20241125,,2023,2024
01649204,달바글로벌,483650,Y,분기보고서 (2024.09),20241113000384,달바글로벌,20241113,정,2023,2024
01649204,달바글로벌,483650,Y,분기보고서 (2025.09),20251114001988,달바글로벌,20251114,정,2024,2025
01649204,달바글로벌,483650,Y,반기보고서 (2025.06),20250814002391,달바글로벌,20250814,,2024,2025
01649204,달바글로벌,483650,Y,분기보고서 (2025.03),20250513000041,달바글로벌,20250513,,2024,2025
01649204,달바글로벌,483650,Y,사업보고서 (2024.12),20250318000466,달바글로벌,20250318,연,2024,2025
01210677,씨케이솔루션,480370,Y,분기보고서 (2025.09),20251114002168,씨케이솔루션,20251114,,2024,2025
01210677,씨케이솔루션,480370,Y,반기보고서 (2025.06),20250814002535,씨케이솔루션,20250814,,2024,2025
01210677,씨케이솔루션,480370,Y,분기보고서 (2025.03),20250515001643,씨케이솔루션,20250515,,2024,2025
01210677,씨케이솔루션,480370,Y,사업보고서 (2024.12),20250320001576,씨케이솔루션,20250320,연,2024,2025
00139834,LG씨엔에스,064400,Y,분기보고서 (2019.09),20191114001950,LG씨엔에스,20191114,,2018,2019
00139834,LG씨엔에스,064400,Y,반기보고서 (2019.06),20190814002204,LG씨엔에스,20190814,,2018,2019
00139834,LG씨엔에스,064400,Y,분기보고서 (2019.03),20190515002450,LG씨엔에스,20190515,,2018,2019
00139834,LG씨엔에스,064400,Y,사업보고서 (2018.12),20190401004162,LG씨엔에스,20190401,연,2018,2019
00139834,LG씨엔에스,064400,Y,분기보고서 (2020.09),20201116001817,LG씨엔에스,20201116,,2019,2020
00139834,LG씨엔에스,064400,Y,반기보고서 (2020.06),20200814001425,LG씨엔에스,20200814,,2019,2020
00139834,LG씨엔에스,064400,Y,분기보고서 (2020.03),20200515002153,LG씨엔에스,20200515,,2019,2020
00139834,LG씨엔에스,064400,Y,사업보고서 (2019.12),20200330003747,LG씨엔에스,20200330,연,2019,2020
00139834,LG씨엔에스,064400,Y,분기보고서 (2021.09),20211115001578,LG씨엔에스,20211115,,2020,2021
00139834,LG씨엔에스,064400,Y,반기보고서 (2021.06),20210817001655,LG씨엔에스,20210817,,2020,2021
00139834,LG씨엔에스,064400,Y,분기보고서 (2021.03),20210517001482,LG씨엔에스,20210517,,2020,2021
00139834,LG씨엔에스,064400,Y,사업보고서 (2020.12),20210331001781,LG씨엔에스,20210331,연,2020,2021
00139834,LG씨엔에스,064400,Y,분기보고서 (2022.09),20221114001694,LG씨엔에스,20221114,,2021,2022
