corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,fiscal_year,filing_year,is_correction
00139834,LG씨엔에스,064400,Y,[기재정정]사업보고서 (2021.12),20220405002309,LG씨엔에스,20220405,연,2021,2022,1
00366438,산일전기,062040,Y,[기재정정]사업보고서 (2024.12),20250328001583,산일전기,20250328,,2024,2025,1
00171265,파라다이스,034230,Y,[기재정정]사업보고서 (2020.12),20210419000082,파라다이스,20210419,연,2020,2021,1
00171265,파라다이스,034230,Y,[기재정정]사업보고서 (2024.12),20250415000021,파라다이스,20250415,연,2024,2025,1
00171265,파라다이스,034230,Y,[기재정정]사업보고서 (2024.12),20250326000063,파라다이스,20250326,정연,2024,2025,1
00171265,파라다이스,034230,Y,[첨부정정]사업보고서 (2024.12),20250326000060,파라다이스,20250326,정연,2024,2025,1
01194689,HD현대마린솔루션,443060,Y,[기재정정]사업보고서 (2024.12),20250509000499,HD현대마린솔루션,20250509,연,2024,2025,1
01194689,HD현대마린솔루션,443060,Y,[기재정정]사업보고서 (2024.12),20250509000357,HD현대마린솔루션,20250509,정연,2024,2025,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20191114002071,에이피알,20191114,정,2018,2019,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2017.12),20191114001781,에이피알,20191114,정,2018,2019,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20190528000207,에이피알,20190528,정,2018,2019,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2019.12),20200924000296,에이피알,20200924,연,2019,2020,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20200924000286,에이피알,20200924,,2019,2020,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2017.12),20200924000275,에이피알,20200924,,2019,2020,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2019.12),20200814001681,에이피알,20200814,정연,2019,2020,1
01190568,에이피알,278470,Y,[기재정정]사업보고서 (2018.12),20200814001663,에이피알,20200814,정,2019,2020,1
00398701,엘앤에프,066970,Y,[기재정정]사업보고서 (2022.12),20230828000596,엘앤에프,20230828,연,2022,2023,1
00398701,엘앤에프,066970,Y,[기재정정]사업보고서 (2023.12),20240328001260,엘앤에프,20240328,연,2023,2024,1
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2021.12),20220504000292,포스코DX,20220504,연,2021,2022,1
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2023.12),20240618000197,포스코DX,20240618,연,2023,2024,1
00155212,포스코DX,022100,Y,[기재정정]사업보고서 (2023.12),20240313001522,포스코DX,20240313,정연,2023,2024,1
01311408,에코프로머티,450080,Y,[기재정정]사업보고서 (2023.12),20240417000528,에코프로머티,20240417,,2023,2024,1
01311408,에코프로머티,450080,Y,[기재정정]사업보고서 (2024.12),20250402002504,에코프로머티,20250402,,2024,2025,1
00220613,넥스틸,092790,Y,[기재정정]사업보고서 (2024.12),20250331002907,넥스틸,20250331,연,2024,2025,1
00220613,넥스틸,092790,Y,[첨부정정]사업보고서 (2024.12),20250327000660,넥스틸,20250327,정연,2024,2025,1
01770203,조선내화,462520,Y,[기재정정]사업보고서 (2023.12),20240315000658,조선내화,20240315,연,2023,2024,1
00447609,비에이치,090460,Y,[기재정정]사업보고서 (2018.12),20190620000077,비에이치,20190620,연,2018,2019,1
00447609,비에이치,090460,Y,[기재정정]사업보고서 (2020.12),20210331002350,비에이치,20210331,연,2020,2021,1
00447609,비에이치,090460,Y,[기재정정]사업보고서 (2020.12),20210322000225,비에이치,20210322,정연,2020,2021,1
00447609,비에이치,090460,Y,[기재정정]사업보고서 (2024.12),20250326000026,비에이치,20250326,연,2024,2025,1
01765265,동국제강,460860,Y,[기재정정]사업보고서 (2024.12),20250317000722,동국제강,20250317,,2024,2025,1
01762569,이수스페셜티케미컬,457190,Y,[기재정정]사업보고서 (2023.12),20240411004116,이수스페셜티케미컬,20240411,,2023,2024,1
00480367,SK오션플랜트,100090,Y,[기재정정]사업보고서 (2022.12),20230831000707,SK오션플랜트,20230831,연,2022,2023,1
00480367,SK오션플랜트,100090,Y,[기재정정]사업보고서 (2024.12),20250814001175,SK오션플랜트,20250814,연,2024,2025,1
00480367,SK오션플랜트,100090,Y,[첨부정정]사업보고서 (2024.12),20250515000593,SK오션플랜트,20250515,정연,2024,2025,1
00622787,바이오노트,377740,Y,[기재정정]사업보고서 (2023.12),20240322000144,바이오노트,20240322,연,2023,2024,1
00622787,바이오노트,377740,Y,[기재정정]사업보고서 (2023.12),20240320002051,바이오노트,20240320,정연,2023,2024,1
00525934,LX세미콘,108320,Y,[기재정정]사업보고서 (2024.12),20250312001059,LX세미콘,20250312,연,2024,2025,1
00193328,수산인더스트리,126720,Y,[기재정정]사업보고서 (2024.12),20250814003023,수산인더스트리,20250814,연,2024,2025,1
00193328,수산인더스트리,126720,Y,[기재정정]사업보고서 (2024.12),20250327000923,수산인더스트리,20250327,정연,2024,2025,1
01323032,케이카,381970,Y,[기재정정]사업보고서 (2022.12),20230407002574,케이카,20230407,,2022,2023,1
01323032,케이카,381970,Y,[기재정정]사업보고서 (2023.12),20240424000584,케이카,20240424,,2023,2024,1
00972503,일진하이솔루스,271940,Y,[기재정정]사업보고서 (2022.12),20230315001068,일진하이솔루스,20230315,,2022,2023,1
00486705,아주스틸,139990,Y,[기재정정]사업보고서 (2024.12),20250328001653,아주스틸,20250328,연,2024,2025,1
00486705,아주스틸,139990,Y,[기재정정]사업보고서 (2023.12),20250321001731,아주스틸,20250321,연,2024,2025,1
00545716,롯데렌탈,089860,Y,[기재정정]사업보고서 (2018.12),20190401003474,롯데렌탈,20190401,정연,2018,2019,1
00545716,롯데렌탈,089860,Y,[기재정정]사업보고서 (2020.12),20210707000505,롯데렌탈,20210707,연,2020,2021,1
00545716,롯데렌탈,089860,Y,[기재정정]사업보고서 (2019.12),20210707000485,롯데렌탈,20210707,연,2020,2021,1
00545716,롯데렌탈,089860,Y,[기재정정]사업보고서 (2018.12),20210707000453,롯데렌탈,20210707,연,2020,2021,1
00545716,롯데렌탈,089860,Y,[기재정정]사업보고서 (2021.12),20220812000791,롯데렌탈,20220812,연,2021,2022,1
00545716,롯데렌탈,089860,Y,[기재정정]사업보고서 (2022.12),20230424000485,롯데렌탈,20230424,연,2022,2023,1
00534598,한컴라이프케어,372910,Y,[기재정정]사업보고서 (2024.12),20250814000446,한컴라이프케어,20250814,연,2024,2025,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2018.12),20191107000375,크래프톤,20191107,정연,2018,2019,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2018.12),20190515002199,크래프톤,20190515,정연,2018,2019,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2017.12),20190515001971,크래프톤,20190515,정,2018,2019,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2016.12),20190515001773,크래프톤,20190515,정연,2018,2019,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2018.12),20190401005084,크래프톤,20190401,정연,2018,2019,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2017.12),20190125000554,크래프톤,20190125,정,2018,2019,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2016.12),20190125000518,크래프톤,20190125,정연,2018,2019,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2018.12),20200330003881,크래프톤,20200330,연,2019,2020,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2017.12),20200330003644,크래프톤,20200330,,2019,2020,1
00760971,크래프톤,259960,Y,[기재정정]사업보고서 (2016.12),20200330003370,크래프톤,20200330,연,2019,2020,1
00854997,에스디바이오센서,137310,Y,[기재정정]사업보고서 (2020.12),20210514001634,에스디바이오센서,20210514,연,2020,2021,1
00854997,에스디바이오센서,137310,Y,[기재정정]사업보고서 (2022.12),20230515000371,에스디바이오센서,20230515,정연,2022,2023,1
00854997,에스디바이오센서,137310,Y,[기재정정]사업보고서 (2024.12),20250822000274,에스디바이오센서,20250822,연,2024,2025,1
00854997,에스디바이오센서,137310,Y,[기재정정]사업보고서 (2023.12),20250822000247,에스디바이오센서,20250822,연,2024,2025,1
00854997,에스디바이오센서,137310,Y,[기재정정]사업보고서 (2022.12),20250822000225,에스디바이오센서,20250822,연,2024,2025,1
00854997,에스디바이오센서,137310,Y,[기재정정]사업보고서 (2021.12),20250822000031,에스디바이오센서,20250822,연,2024,2025,1
01568413,F&F,383220,Y,[기재정정]사업보고서 (2022.12),20230831001367,F&F,20230831,연,2022,2023,1
01386916,SK아이이테크놀로지,361610,Y,[기재정정]사업보고서 (2022.12),20230814002466,SK아이이테크놀로지,20230814,연,2022,2023,1
01319899,SK바이오사이언스,302440,Y,[기재정정]사업보고서 (2019.12),20201127001236,SK바이오사이언스,20201127,,2019,2020,1
01510489,프레스티지바이오파마,950210,Y,[기재정정]사업보고서 (2023.06),20231129001041,프레스티지바이오파마,20231129,연,2022,2023,1
01510489,프레스티지바이오파마,950210,Y,[기재정정]사업보고서 (2025.06),20250923000316,프레스티지바이오파마,20250923,연,2024,2025,1
01510489,프레스티지바이오파마,950210,Y,[기재정정]사업보고서 (2025.06),20250923000166,프레스티지바이오파마,20250923,정연,2024,2025,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2019.12),20201208000451,솔루엠,20201208,연,2019,2020,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2019.12),20200904000075,솔루엠,20200904,정연,2019,2020,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2019.12),20200814002594,솔루엠,20200814,정연,2019,2020,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2019.12),20200814001446,솔루엠,20200814,정연,2019,2020,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2020.12),20210421000598,솔루엠,20210421,연,2020,2021,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2020.12),20210324000318,솔루엠,20210324,정연,2020,2021,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2023.12),20240319000321,솔루엠,20240319,연,2023,2024,1
01159233,솔루엠,248070,Y,[기재정정]사업보고서 (2024.12),20250813001277,솔루엠,20250813,연,2024,2025,1
01524093,DL이앤씨,375500,Y,[기재정정]사업보고서 (2023.12),20240328001465,DL이앤씨,20240328,연,2023,2024,1
01524093,DL이앤씨,375500,Y,[기재정정]사업보고서 (2024.12),20250814001988,DL이앤씨,20250814,연,2024,2025,1
00173078,명신산업,009900,Y,[기재정정]사업보고서 (2023.12),20240328000483,명신산업,20240328,연,2023,2024,1
