corp_code,corp_name,fiscal_year,filing_year,rcept_no,rcept_dt,report_nm,MaterialCorrection,MaterialKeywordHits,MaterialKeywords,period_group
00139834,LG씨엔에스,2021,2022,20220405002309,20220405,[기재정정]사업보고서 (2021.12),0,0,,2018-2021
00366438,산일전기,2024,2025,20250328001583,20250328,[기재정정]사업보고서 (2024.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
00171265,파라다이스,2020,2021,20210419000082,20210419,[기재정정]사업보고서 (2020.12),0,0,,2018-2021
00171265,파라다이스,2024,2025,20250415000021,20250415,[기재정정]사업보고서 (2024.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
00171265,파라다이스,2024,2025,20250326000063,20250326,[기재정정]사업보고서 (2024.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
00171265,파라다이스,2024,2025,20250326000060,20250326,[첨부정정]사업보고서 (2024.12),0,0,,2022-2024
01194689,HD현대마린솔루션,2024,2025,20250509000499,20250509,[기재정정]사업보고서 (2024.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
01194689,HD현대마린솔루션,2024,2025,20250509000357,20250509,[기재정정]사업보고서 (2024.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
01190568,에이피알,2018,2019,20191114002071,20191114,[기재정정]사업보고서 (2018.12),0,0,,2018-2021
01190568,에이피알,2018,2019,20191114001781,20191114,[기재정정]사업보고서 (2017.12),0,0,,2018-2021
01190568,에이피알,2018,2019,20190528000207,20190528,[기재정정]사업보고서 (2018.12),0,0,,2018-2021
01190568,에이피알,2019,2020,20200924000296,20200924,[기재정정]사업보고서 (2019.12),0,0,,2018-2021
01190568,에이피알,2019,2020,20200924000286,20200924,[기재정정]사업보고서 (2018.12),0,0,,2018-2021
01190568,에이피알,2019,2020,20200924000275,20200924,[기재정정]사업보고서 (2017.12),0,0,,2018-2021
01190568,에이피알,2019,2020,20200814001681,20200814,[기재정정]사업보고서 (2019.12),0,0,,2018-2021
01190568,에이피알,2019,2020,20200814001663,20200814,[기재정정]사업보고서 (2018.12),0,0,,2018-2021
00398701,엘앤에프,2022,2023,20230828000596,20230828,[기재정정]사업보고서 (2022.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
00398701,엘앤에프,2023,2024,20240328001260,20240328,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
00155212,포스코DX,2021,2022,20220504000292,20220504,[기재정정]사업보고서 (2021.12),0,0,,2018-2021
00155212,포스코DX,2023,2024,20240618000197,20240618,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
00155212,포스코DX,2023,2024,20240313001522,20240313,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
01311408,에코프로머티,2023,2024,20240417000528,20240417,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
01311408,에코프로머티,2024,2025,20250402002504,20250402,[기재정정]사업보고서 (2024.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
00220613,넥스틸,2024,2025,20250331002907,20250331,[기재정정]사업보고서 (2024.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
00220613,넥스틸,2024,2025,20250327000660,20250327,[첨부정정]사업보고서 (2024.12),1,21,감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|손익계산서|연결재무제표|영업이익|이사회|자본변동표|재무상태표|재무제표|종속기업|최대주주|출자|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
01770203,조선내화,2023,2024,20240315000658,20240315,[기재정정]사업보고서 (2023.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
00447609,비에이치,2018,2019,20190620000077,20190620,[기재정정]사업보고서 (2018.12),0,0,,2018-2021
00447609,비에이치,2020,2021,20210331002350,20210331,[기재정정]사업보고서 (2020.12),0,0,,2018-2021
00447609,비에이치,2020,2021,20210322000225,20210322,[기재정정]사업보고서 (2020.12),0,0,,2018-2021
00447609,비에이치,2024,2025,20250326000026,20250326,[기재정정]사업보고서 (2024.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
01765265,동국제강,2024,2025,20250317000722,20250317,[기재정정]사업보고서 (2024.12),1,29,감사용역|감사위원|감사의견|감사인|관계기업|내부회계관리제도|당기순이익|매출|부채총계|비감사용역|사외이사|소액주주|손익계산서|연결재무제표|영업이익|이사회|자본변동표|자본총계|자산총계|재무상태표|재무제표|종속기업|최대주주|출자|타법인|특수관계|포괄손익계산서|현금흐름표|회계감사,2022-2024
