corp_code,stock_code,corp_name,market,sector,fiscal_year,CorrectionCount,FirstCorrectionDate,LastCorrectionDate,CorrectionDummy,LogCorrectionCount,MaterialCorrectionCount,MaterialKeywordHits,MaterialCorrectionDummy
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2018,0,,,0,0.0,0,0,0
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2019,0,,,0,0.0,0,0,0
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2020,0,,,0,0.0,0,0,0
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2021,0,,,0,0.0,0,0,0
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2022,0,,,0,0.0,0,0,0
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2023,0,,,0,0.0,0,0,0
00949161,217590,티엠씨,KOSPI,절연선 및 케이블 제조업,2024,0,,,0,0.0,0,0,0
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2018,0,,,0,0.0,0,0,0
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2019,0,,,0,0.0,0,0,0
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2020,0,,,0,0.0,0,0,0
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2021,0,,,0,0.0,0,0,0
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2022,0,,,0,0.0,0,0,0
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2023,0,,,0,0.0,0,0,0
00131054,001200,삼양바이오팜,KOSPI,의약품 제조업,2024,0,,,0,0.0,0,0,0
00179489,317450,명인제약,KOSPI,의약품 제조업,2018,0,,,0,0.0,0,0,0
00179489,317450,명인제약,KOSPI,의약품 제조업,2019,0,,,0,0.0,0,0,0
00179489,317450,명인제약,KOSPI,의약품 제조업,2020,0,,,0,0.0,0,0,0
00179489,317450,명인제약,KOSPI,의약품 제조업,2021,0,,,0,0.0,0,0,0
00179489,317450,명인제약,KOSPI,의약품 제조업,2022,0,,,0,0.0,0,0,0
00179489,317450,명인제약,KOSPI,의약품 제조업,2023,0,,,0,0.0,0,0,0
00179489,317450,명인제약,KOSPI,의약품 제조업,2024,0,,,0,0.0,0,0,0
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2018,0,,,0,0.0,0,0,0
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2019,0,,,0,0.0,0,0,0
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2020,0,,,0,0.0,0,0,0
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2021,0,,,0,0.0,0,0,0
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2022,0,,,0,0.0,0,0,0
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2023,0,,,0,0.0,0,0,0
00182696,439260,대한조선,KOSPI,선박 및 보트 건조업,2024,0,,,0,0.0,0,0,0
