variable,count,mean,std,min,25%,50%,75%,max
CorrectionDummy,4844.0,0.21676300578034682,0.41208234763055385,0.0,0.0,0.0,0.0,1.0
CorrectionCount,4844.0,0.30532617671345996,0.7683904118573015,0.0,0.0,0.0,0.0,12.0
LogCorrectionCount,4844.0,0.1787807928508324,0.3652641692036937,0.0,0.0,0.0,0.0,2.5649493574615367
MaterialCorrectionDummy,4844.0,0.11354252683732452,0.3172875732483419,0.0,0.0,0.0,0.0,1.0
MaterialCorrectionCount,4844.0,0.14925681255161025,0.5234708662241881,0.0,0.0,0.0,0.0,10.0
OutsideDirectorRatio,3297.0,0.4381495286636324,0.14939438255576237,0.0,0.3333333333333333,0.42857142857142855,0.5714285714285714,1.0
LargestShareholderOwnership,4597.0,44.34338264085274,16.572123215307844,2.0,32.72,45.0,55.46,100.0
MinorityShareholderCount,4415.0,46653.7839184598,189385.5392009797,10.0,6925.5,14726.0,31944.5,5813977.0
LogMinorityShareholderCount,4415.0,9.688912924327656,1.2811130477640733,2.3978952727983707,8.843109848961742,9.597437822726162,10.371786584115327,15.575775576124071
LogAssets,4576.0,27.3065735263564,1.6441207408223815,18.6561550461162,26.243520446301677,27.07594241457341,28.177517545424312,33.874278764512916
Leverage,4575.0,0.46030291655840205,0.2087097959066967,0.017781295150886323,0.29312820315360316,0.4699852593582392,0.6142592005198764,1.2590652687644954
ROA,4575.0,0.014975726810910642,0.09113726917056207,-1.3752547035828149,-0.0029322608370436574,0.02352274226561358,0.05203707345199439,1.7185523551559234
Loss,4576.0,0.26354895104895104,0.4406056351100185,0.0,0.0,0.0,1.0,1.0
Big4Auditor,4596.0,0.5319843342036553,0.4990302462745701,0.0,0.0,1.0,1.0,1.0
CleanOpinion,4596.0,0.8857702349869452,0.3181247328850034,0.0,1.0,1.0,1.0,1.0
AuditFee,1179.0,40081049.959796436,125679350.15162626,3.0,485.0,129000.0,409000.0,1690000000.0
NonAuditFee,4844.0,3577234.6610672995,31062524.599925186,0.0,0.0,0.0,220.0,900722264.0
NonAuditFeeRatio,1146.0,0.10413883884860066,0.3229312118787596,0.0,0.0,0.0,0.09088824020016681,4.814814814814815
