variable,missing_rate
NonAuditFeeRatio,0.7634186622625929
AuditFee,0.7566061106523534
OutsideDirectorRatio,0.319364161849711
MinorityShareholderCount,0.08856317093311313
LogMinorityShareholderCount,0.08856317093311313
Leverage,0.05553261767134599
ROA,0.05553261767134599
LogAssets,0.05532617671345995
Loss,0.05532617671345995
Big4Auditor,0.05119735755573906
CleanOpinion,0.05119735755573906
LargestShareholderOwnership,0.050990916597853014
CorrectionCount,0.0
CorrectionDummy,0.0
MaterialCorrectionDummy,0.0
LogCorrectionCount,0.0
MaterialCorrectionCount,0.0
NonAuditFee,0.0
