sector,n_firm_years,n_firms,correction_rate,material_rate
자동차 신품 부품 제조업,329,47,0.23100303951367782,0.10638297872340426
의약품 제조업,308,44,0.2305194805194805,0.11688311688311688
1차 철강 제조업,266,38,0.20300751879699247,0.11278195488721804
기타 화학제품 제조업,231,33,0.16017316017316016,0.07792207792207792
기초 화학물질 제조업,196,28,0.2653061224489796,0.1377551020408163
전자부품 제조업,168,24,0.19047619047619047,0.10119047619047619
플라스틱제품 제조업,126,18,0.1111111111111111,0.06349206349206349
특수 목적용 기계 제조업,126,18,0.16666666666666666,0.0873015873015873
봉제의복 제조업,112,16,0.23214285714285715,0.10714285714285714
기타 식품 제조업,105,15,0.19047619047619047,0.12380952380952381
일반 목적용 기계 제조업,98,14,0.2653061224489796,0.12244897959183673
종합 소매업,91,13,0.14285714285714285,0.07692307692307693
토목 건설업,91,13,0.4065934065934066,0.2857142857142857
1차 비철금속 제조업,84,12,0.21428571428571427,0.11904761904761904
"시멘트, 석회, 플라스터 및 그 제품 제조업",77,11,0.12987012987012986,0.05194805194805195
기타 전문 도매업,77,11,0.2597402597402597,0.12987012987012986
반도체 제조업,63,9,0.25396825396825395,0.1111111111111111
건물 건설업,63,9,0.2857142857142857,0.1746031746031746
상품 종합 도매업,63,9,0.14285714285714285,0.06349206349206349
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",63,9,0.2222222222222222,0.12698412698412698
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",56,8,0.32142857142857145,0.23214285714285715
일차전지 및 이차전지 제조업,56,8,0.21428571428571427,0.17857142857142858
"건축기술, 엔지니어링 및 관련 기술 서비스업",56,8,0.2857142857142857,0.17857142857142858
"펄프, 종이 및 판지 제조업",56,8,0.125,0.017857142857142856
소프트웨어 개발 및 공급업,49,7,0.22448979591836735,0.08163265306122448
연료용 가스 제조 및 배관공급업,49,7,0.20408163265306123,0.14285714285714285
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",49,7,0.22448979591836735,0.12244897959183673
기계장비 및 관련 물품 도매업,49,7,0.1836734693877551,0.12244897959183673
"골판지, 종이 상자 및 종이용기 제조업",42,6,0.19047619047619047,0.11904761904761904
"곡물가공품, 전분 및 전분제품 제조업",42,6,0.23809523809523808,0.11904761904761904
가구 제조업,42,6,0.21428571428571427,0.16666666666666666
도로 화물 운송업,42,6,0.3333333333333333,0.21428571428571427
고무제품 제조업,42,6,0.21428571428571427,0.07142857142857142
해상 운송업,42,6,0.19047619047619047,0.09523809523809523
항공 여객 운송업,42,6,0.3333333333333333,0.09523809523809523
화학섬유 제조업,42,6,0.2619047619047619,0.09523809523809523
생활용품 도매업,42,6,0.2619047619047619,0.14285714285714285
전기 통신업,35,5,0.17142857142857143,0.14285714285714285
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",35,5,0.2,0.08571428571428572
수산물 가공 및 저장 처리업,35,5,0.17142857142857143,0.05714285714285714
절연선 및 케이블 제조업,35,5,0.17142857142857143,0.08571428571428572
"비료, 농약 및 살균, 살충제 제조업",35,5,0.08571428571428572,0.0
"내화, 비내화 요업제품 제조업",35,5,0.2571428571428571,0.11428571428571428
통신 및 방송 장비 제조업,35,5,0.14285714285714285,0.0
선박 및 보트 건조업,35,5,0.14285714285714285,0.14285714285714285
석유 정제품 제조업,35,5,0.05714285714285714,0.0
영상 및 음향기기 제조업,35,5,0.2571428571428571,0.14285714285714285
기타 운송관련 서비스업,28,4,0.10714285714285714,0.07142857142857142
알코올음료 제조업,28,4,0.14285714285714285,0.03571428571428571
직물직조 및 직물제품 제조업,28,4,0.35714285714285715,0.14285714285714285
자동차용 엔진 및 자동차 제조업,28,4,0.21428571428571427,0.14285714285714285
"구조용 금속제품, 탱크 및 증기발생기 제조업",28,4,0.2857142857142857,0.07142857142857142
기초 의약물질 제조업,28,4,0.17857142857142858,0.03571428571428571
