model,variable,coef,std_err,t_or_z,p_value,nobs,stars,coef_stars,std_err_fmt
M1_controls,Intercept,-0.5125421076493263,0.16167779865059226,-3.170145263772422,0.0015236274612124559,4575.0,***,-0.5125***,(0.1617)
M1_controls,C(fiscal_year)[T.2019],-0.07485408466247019,0.02094926432708845,-3.5731128069103653,0.000352762701025828,4575.0,***,-0.0749***,(0.0209)
M1_controls,C(fiscal_year)[T.2020],0.039383649562008176,0.022806918142460806,1.7268290838772127,0.08419836354084777,4575.0,*,0.0394*,(0.0228)
M1_controls,C(fiscal_year)[T.2021],0.07014393567256068,0.02384486202063946,2.941679243597468,0.0032643786101546816,4575.0,***,0.0701***,(0.0238)
M1_controls,C(fiscal_year)[T.2022],-0.031117043518196698,0.021428098338182645,-1.4521607576697255,0.14645691129672672,4575.0,,-0.0311,(0.0214)
M1_controls,C(fiscal_year)[T.2023],0.020123090467118757,0.02258782888925915,0.8908820128652376,0.3729924709286494,4575.0,,0.0201,(0.0226)
M1_controls,C(fiscal_year)[T.2024],0.10106499127566115,0.0238760087678225,4.2329097906793205,2.3068705314608777e-05,4575.0,***,0.1011***,(0.0239)
M1_controls,C(sector)[T.1차 철강 제조업],0.003921121539112139,0.05804439101513124,0.06755384061295373,0.9461408012648139,4575.0,,0.0039,(0.0580)
M1_controls,C(sector)[T.가구 제조업],0.017905369959123184,0.06530334459578967,0.27418764031080894,0.7839404258970679,4575.0,,0.0179,(0.0653)
M1_controls,C(sector)[T.가전제품 및 정보통신장비 소매업],-0.14275216282289366,0.05193792419463475,-2.7485149827693753,0.00598658987730096,4575.0,***,-0.1428***,(0.0519)
M1_controls,C(sector)[T.가정용 기기 제조업],0.08034975103463268,0.0511565031634782,1.5706654299232128,0.11626038314516603,4575.0,,0.0803,(0.0512)
M1_controls,"C(sector)[T.가죽, 가방 및 유사제품 제조업]",0.07776896339169913,0.08912513208179015,0.8725817463061993,0.38289109350616723,4575.0,,0.0778,(0.0891)
M1_controls,C(sector)[T.개인 및 가정용품 임대업],0.387000768003598,0.052153152448875556,7.420467408618593,1.1670772530006286e-13,4575.0,***,0.3870***,(0.0522)
M1_controls,C(sector)[T.건물 건설업],0.07122091908497334,0.07544356984631871,0.9440290170527844,0.3451548203747077,4575.0,,0.0712,(0.0754)
M1_controls,C(sector)[T.건물설비 설치 공사업],0.10965441304667081,0.05332853017405789,2.0562054249155572,0.0397627196047977,4575.0,**,0.1097**,(0.0533)
M1_controls,"C(sector)[T.건축기술, 엔지니어링 및 관련 기술 서비스업]",0.11391765511375435,0.0830231442529913,1.3721192582952546,0.1700263151917606,4575.0,,0.1139,(0.0830)
M1_controls,"C(sector)[T.건축자재, 철물 및 난방장치 도매업]",-0.16378593189559945,0.05278864340268325,-3.102673630883157,0.0019178101027453062,4575.0,***,-0.1638***,(0.0528)
M1_controls,"C(sector)[T.경비, 경호 및 탐정업]",-0.21533879832802308,0.05159258940523179,-4.173831955528607,2.9951871641537927e-05,4575.0,***,-0.2153***,(0.0516)
M1_controls,C(sector)[T.고무제품 제조업],-0.034164812731437635,0.12743404427223048,-0.2680980025906828,0.78862388327558,4575.0,,-0.0342,(0.1274)
M1_controls,"C(sector)[T.곡물가공품, 전분 및 전분제품 제조업]",0.02345546101411046,0.07063215753925683,0.3320790675419208,0.7398295557858974,4575.0,,0.0235,(0.0706)
M1_controls,"C(sector)[T.골판지, 종이 상자 및 종이용기 제조업]",0.0025268622495877528,0.09633700705905755,0.02622940370193054,0.979074363183586,4575.0,,0.0025,(0.0963)
M1_controls,C(sector)[T.광고업],0.10650759589607833,0.062488885640122255,1.7044246317571228,0.08830178541157607,4575.0,*,0.1065*,(0.0625)
M1_controls,"C(sector)[T.구조용 금속제품, 탱크 및 증기발생기 제조업]",0.07669171646179608,0.06879708267075746,1.1147524500249526,0.26495651796864794,4575.0,,0.0767,(0.0688)
M1_controls,C(sector)[T.귀금속 및 장신용품 제조업],-0.2193350151007162,0.05116876050449808,-4.286502407683594,1.8150823612173993e-05,4575.0,***,-0.2193***,(0.0512)
M1_controls,C(sector)[T.그외 기타 개인 서비스업],0.19728806789794207,0.05190804768276852,3.8007221751750477,0.00014427499230568617,4575.0,***,0.1973***,(0.0519)
