model,variable,coef,std_err,t_or_z,p_value,nobs,stars,coef_stars,std_err_fmt
M1_controls,LogAssets_w,0.025267810524671277,0.005678265650875441,4.449916942645267,8.590350485234023e-06,4575.0,***,0.0253***,(0.0057)
M1_controls,Leverage_w,0.038807399510203205,0.0449635882987985,0.8630850200903606,0.3880907234558567,4575.0,,0.0388,(0.0450)
M1_controls,ROA_w,-0.21262794162602813,0.13858686758209732,-1.5342575045941471,0.12496631571717937,4575.0,,-0.2126,(0.1386)
M1_controls,Loss,0.03942702411690555,0.02197799827323615,1.7939315321959082,0.07282409778737121,4575.0,*,0.0394*,(0.0220)
M2_governance,LogAssets_w,0.03271223455140074,0.008420241433906454,3.884952089339836,0.00010235007020621116,3193.0,***,0.0327***,(0.0084)
M2_governance,Leverage_w,0.003139046935669859,0.054424599098048296,0.057676987753547404,0.9540059242868361,3193.0,,0.0031,(0.0544)
M2_governance,ROA_w,-0.27548901795857295,0.1619791087351397,-1.7007688220401254,0.08898640598814846,3193.0,*,-0.2755*,(0.1620)
M2_governance,Loss,0.04588158374584961,0.027853339429175304,1.6472561167222344,0.09950541371707702,3193.0,*,0.0459*,(0.0279)
M2_governance,OutsideDirectorRatio_w,0.10517846451294574,0.06812030053009674,1.5440105767953278,0.12258577034760441,3193.0,,0.1052,(0.0681)
M2_governance,LargestShareholderOwnership_w,-0.0023321040578171953,0.0005912620089392427,-3.9442819301059457,8.00394502449227e-05,3193.0,***,-0.0023***,(0.0006)
M2_governance,LogMinorityShareholderCount_w,-0.016902591231554617,0.010284910862452437,-1.6434358505975613,0.1002927877091482,3193.0,,-0.0169,(0.0103)
M3_governance_auditor_basic,LogAssets_w,0.03208466499561137,0.00876987614467035,3.6585083376701895,0.00025368748922529835,3192.0,***,0.0321***,(0.0088)
M3_governance_auditor_basic,Leverage_w,0.0026438545252520564,0.05453700553436019,0.04847817549473517,0.9613351574199894,3192.0,,0.0026,(0.0545)
M3_governance_auditor_basic,ROA_w,-0.2791613267668068,0.16227997914694542,-1.7202450248901295,0.08538791182304074,3192.0,*,-0.2792*,(0.1623)
M3_governance_auditor_basic,Loss,0.045493601425174814,0.02790204501890697,1.6304755222904794,0.10300103444809401,3192.0,,0.0455,(0.0279)
M3_governance_auditor_basic,OutsideDirectorRatio_w,0.10492011682131153,0.06826281247895957,1.5370025495748614,0.12429268502656889,3192.0,,0.1049,(0.0683)
M3_governance_auditor_basic,LargestShareholderOwnership_w,-0.00235486142205914,0.0005944246083371289,-3.961581315832026,7.445501628197884e-05,3192.0,***,-0.0024***,(0.0006)
M3_governance_auditor_basic,LogMinorityShareholderCount_w,-0.017206466168928816,0.010352707940259888,-1.6620256524397687,0.09650763113536454,3192.0,*,-0.0172*,(0.0104)
M3_governance_auditor_basic,Big4Auditor,0.005071111283188639,0.018822151785587996,0.2694225049800925,0.7876045697605135,3192.0,,0.0051,(0.0188)
M3_governance_auditor_basic,CleanOpinion,0.0025920032716316467,0.02844747667919785,0.09111540193394527,0.927400894576222,3192.0,,0.0026,(0.0284)
M5_material_controls,LogAssets_w,0.021026682817996727,0.0038951520780666393,5.398167362038746,6.732505064628084e-08,4575.0,***,0.0210***,(0.0039)
M5_material_controls,Leverage_w,-0.048489625236717605,0.030149914287698067,-1.6082840161340892,0.10777298970490456,4575.0,,-0.0485,(0.0301)
M5_material_controls,ROA_w,-0.24794075925632453,0.096478517339317,-2.5699064008655066,0.010172599571314557,4575.0,**,-0.2479**,(0.0965)
M5_material_controls,Loss,0.00758999101079432,0.014696768232984311,0.5164394573332061,0.6055475135438152,4575.0,,0.0076,(0.0147)
M6_material_governance,LogAssets_w,0.032888594705538676,0.006919695578566611,4.752896183382597,2.0052332465802595e-06,3193.0,***,0.0329***,(0.0069)
M6_material_governance,Leverage_w,-0.06757719697940907,0.04095938520115664,-1.6498586745755348,0.09897184470537133,3193.0,*,-0.0676*,(0.0410)
M6_material_governance,ROA_w,-0.2712319585052443,0.1287356810007489,-2.1068903073085576,0.03512708898772137,3193.0,**,-0.2712**,(0.1287)
M6_material_governance,Loss,0.014344923736665304,0.021425194568423758,0.6695352843052689,0.5031540806054693,3193.0,,0.0143,(0.0214)
M6_material_governance,OutsideDirectorRatio_w,0.09057281102634544,0.05434615785252014,1.6665908797478202,0.09559578362961554,3193.0,*,0.0906*,(0.0543)
M6_material_governance,LargestShareholderOwnership_w,-0.0018331197875633334,0.0005073345954638694,-3.613236321657236,0.0003023988566655216,3193.0,***,-0.0018***,(0.0005)
