rcept_no,corp_cls,corp_code,corp_name,se,shrholdr_co,shrholdr_tot_co,shrholdr_rate,hold_stock_co,stock_tot_co,hold_stock_rate,stlm_dt,fiscal_year,endpoint_label
20190401002982,Y,00131054,유진증권,소액주주,"38,356",-,99.97%,"67,052,361",-,69.21%,2018-12-31,2018,minority_shareholder
20200330002456,Y,00131054,유진증권,소액주주,"36,199",-,99.98%,"68,967,787",-,71.20%,2019-12-31,2019,minority_shareholder
20210317000664,Y,00131054,유진증권,소액주주,"36,534","36,550",99.96%,"52,922,408","93,839,145",56.40%,2020-12-31,2020,minority_shareholder
20220316000791,Y,00131054,유진증권,소액주주,"37,624","37,639",99.98%,"52,973,755","93,839,145",56.45%,2021-12-31,2021,minority_shareholder
20230315000887,Y,00131054,유진증권,소액주주,"36,812","36,830",99.96%,"50,832,900","91,839,145",55.35%,2022-12-31,2022,minority_shareholder
20240318000590,Y,00131054,유진증권,소액주주,"30,315","30,334",99.94%,"50,584,243","91,839,145",55.08%,2023-12-31,2023,minority_shareholder
20250318000789,Y,00131054,유진증권,소액주주,"28,478","28,499",99.94%,"53,860,149","96,866,418",55.62%,2024-12-31,2024,minority_shareholder
20250318000466,Y,01649204,달바글로벌,소액주주,76,96,79.2%,"1,711,442","11,465,665",14.9%,2024-12-31,2024,minority_shareholder
20250320001576,Y,01210677,씨케이솔루션,소액주주,13,21,61.90%,"690,400","9,434,861",7.32%,2024-12-31,2024,minority_shareholder
20190401004162,Y,00139834,LG씨엔에스,소액주주,"4,999",-,99.91%,"10,448,503",-,11.97%,2018-12-31,2018,minority_shareholder
20200330003747,Y,00139834,LG씨엔에스,소액주주,"5,086",-,99.91%,"10,517,344",-,12.05%,2019-12-31,2019,minority_shareholder
20210331001781,Y,00139834,LG씨엔에스,소액주주,"5,376","5,381",99.9%,"10,596,073","87,197,353",12.14%,2020-12-31,2020,minority_shareholder
20220405002309,Y,00139834,LG씨엔에스,소액주주,"5,813","5,818",99.91%,"10,692,450","87,197,353",12.25%,2021-12-31,2021,minority_shareholder
20230331004072,Y,00139834,LG씨엔에스,소액주주,"6,107","6,112",99.92%,"10,814,617","87,197,353",12.40%,2022-12-31,2022,minority_shareholder
20240401003467,Y,00139834,LG씨엔에스,소액주주,"6,259","6,263",99.94%,"10,894,943","87,197,353",12.49%,2023-12-31,2023,minority_shareholder
20250311001270,Y,00139834,LG씨엔에스,소액주주,"6,858","6,861",99.96%,"12,148,461","87,197,353",13.93%,2024-12-31,2024,minority_shareholder
20250319000653,Y,01519790,엠앤씨솔루션,소액주주,"18,788","18,791",99.98%,"2,101,869","9,153,900",22.96%,2024-12-31,2024,minority_shareholder
20250320000574,Y,00968607,더본코리아,소액주주,"85,422","85,425",99.996%,"3,585,858","14,657,120",24.465%,2024-12-31,2024,minority_shareholder
20250317000812,Y,01867758,한화비전,소액주주,"91,065","91,071",99.99%,"27,105,261","50,377,542",53.80%,2024-12-31,2024,minority_shareholder
