rcept_no,corp_cls,corp_code,corp_name,bsns_year,adtor,adt_opinion,adt_reprt_spcmnt_matter,stlm_dt,query_year,endpoint_label,emphs_matter,core_adt_matter
20190401002982,Y,00131054,유진증권,제66기,"삼정회계법인
대표이사 김 교 태","연결 : 적정
별도 : 적정","연결 및 별도
해당 사항 없음",2018-12-31,2018,auditor_opinion,,
20190401002982,Y,00131054,유진증권,제65기,"삼정회계법인
대표이사 김 교 태","연결 : 적정
별도 : 적정","연결 및 별도
해당 사항 없음",2018-12-31,2018,auditor_opinion,,
20190401002982,Y,00131054,유진증권,제64기,"삼정회계법인
대표이사 김 교 태","연결 : 적정
별도 : 적정","연결 및 별도
해당 사항 없음",2018-12-31,2018,auditor_opinion,,
20200330002456,Y,00131054,유진증권,제67기(당기),"삼정회계법인
대표이사 김 교 태","연결 : 적정
별도 : 적정",-,2019-12-31,2019,auditor_opinion,"연결 및 별도
해당 사항 없음","1. 비정형화된 거래에서 발생하는 수수료수익의 이연인식
2. 공정가치 수준3으로 분류하는 파생상품 및 당기손익- 
    공정가치지정금융상품의 공정가치 평가"
20200330002456,Y,00131054,유진증권,제66기(전기),"삼정회계법인
대표이사 김 교 태","연결 : 적정
별도 : 적정",-,2019-12-31,2019,auditor_opinion,"연결 및 별도
해당 사항 없음","1. 매입확약수수료, 업무위탁(자산관리)수수료 수익인식
2. 비상장금융상품의 공정가치 평가"
20200330002456,Y,00131054,유진증권,제65기(전전기),"삼정회계법인
대표이사 김 교 태","연결 : 적정
별도 : 적정",-,2019-12-31,2019,auditor_opinion,"연결 및 별도
해당 사항 없음",
20210317000664,Y,00131054,유진증권,제68기(당기),"삼일회계법인
대표이사 윤 훈 수","연결 : 적정
별도 : 적정",-,2020-12-31,2020,auditor_opinion,주1),"1. 비정형화된 거래에서 발생하는 수수료수익의 이연인식
2. 공정가치 수준3으로 분류하는 파생상품 및 파생결합증권의    공정가치 평가"
20210317000664,Y,00131054,유진증권,제67기(전기),"삼정회계법인
대표이사 김 교 태","연결 : 적정
별도 : 적정",-,2020-12-31,2020,auditor_opinion,"연결 및 별도
해당 사항 없음","1. 비정형화된 거래에서 발생하는 수수료수익의 이연인식
2. 공정가치 수준3으로 분류하는 파생상품 및 당기손익- 
    공정가치지정금융상품의 공정가치 평가"
20210317000664,Y,00131054,유진증권,제66기(전전기),"삼정회계법인
대표이사 김 교 태","연결 : 적정
별도 : 적정",-,2020-12-31,2020,auditor_opinion,"연결 및 별도
해당 사항 없음","1. 매입확약수수료, 업무위탁(자산관리)수수료 수익인식
2. 비상장금융상품의 공정가치 평가"
20220316000791,Y,00131054,유진증권,제69기(당기),"삼일회계법인
대표이사 윤 훈 수","연결 : 적정
별도 : 적정",-,2021-12-31,2021,auditor_opinion,주1),"1. 비정형화된 거래에서 발생하는 수수료수익의 이연인식
2. 공정가치 수준3으로 분류하는 파생상품 및 파생결합증권의    공정가치 평가"
20220316000791,Y,00131054,유진증권,제68기(전기),"삼일회계법인
대표이사 윤 훈 수","연결 : 적정
별도 : 적정",-,2021-12-31,2021,auditor_opinion,주1),"1. 비정형화된 거래에서 발생하는 수수료수익의 이연인식
2. 공정가치 수준3으로 분류하는 파생상품 및 파생결합증권의    공정가치 평가"
