variable,missing_rate
MinorityShareholderRatio,1.0
NonAuditFeeRatio,0.7679324894514767
LogAuditFee,0.7613019891500904
OutsideDirectorRatio,0.3325296363271047
OutsideDirectorCount,0.3301185453084187
BoardSize,0.32891299979907573
MinorityShareholderCount,0.10608800482218204
ROA,0.0737392003214788
Leverage,0.0737392003214788
LogAssets,0.07353827606992164
Loss,0.07353827606992164
CleanOpinion,0.06951979103877838
Big4Auditor,0.06951979103877838
LargestShareholderOwnership,0.06931886678722121
CorrectionDummy,0.0
MaterialCorrectionDummy,0.0
CorrectionCount,0.0
MaterialCorrectionCount,0.0
LogNonAuditFee,0.0
