tail,estimator,bias,rmse,coverage,top1_share,top05_share,ess
t3,score_clipped_dml_q0.95,0.023502952851567536,0.11752653927275734,1.0,0.04380993903951634,0.020444638218440954,668.7536846697292
t3,score_clipped_dml_q0.97,0.021305188028574226,0.1759949276194739,1.0,0.0682059597149434,0.031829447866973594,510.27263328742293
t3,score_clipped_dml_q0.99,-0.003833681755351259,0.25124312798092446,0.95,0.12236864809812939,0.05710542654233745,349.6006771719619
t3,outcome_winsorized_dml,-0.014910956770370229,0.26698582204738913,0.9,0.1531317725800616,0.08292744501328149,301.2165206705936
t3,score_clipped_dml_q0.995,-0.007658631665364684,0.2686173103927087,0.9,0.1409046820837538,0.06911606744558077,320.9097466759778
t3,score_clipped_dml_q0.999,-0.0006305956981297794,0.2718447706594738,0.95,0.1539638197664741,0.08311829901015715,297.85874920995184
t3,standard_dml,-0.0008399225240087571,0.2722004100906436,0.95,0.1558548685342702,0.08517128095304674,293.7094260799238
t3,covariate_winsorized_dml,-0.008499032432954448,0.27540315125564446,0.95,0.15666712674165975,0.08569987142099791,292.47858079043664
t5,score_clipped_dml_q0.95,0.05077775731985136,0.1596597107243573,0.9,0.04155561347155855,0.019392619620060655,700.1299085352042
t5,score_clipped_dml_q0.97,0.02323767970202474,0.2019090594327452,0.9,0.0679218406280819,0.03169685895977155,522.687780534073
t5,score_clipped_dml_q0.99,0.00453826376646454,0.2712136105080032,0.9,0.12902558241886225,0.06021193846213572,334.7735326163378
t5,outcome_winsorized_dml,-0.007114446055678703,0.27668749999973186,0.95,0.16249010336290887,0.08720667818831583,282.66329369997277
t5,score_clipped_dml_q0.995,0.001305286972262057,0.28057031296358753,1.0,0.1510487751586525,0.07395193701820221,302.09378705915526
t5,score_clipped_dml_q0.999,-0.000618539756130862,0.2809388898232068,1.0,0.1628051926299098,0.08662097691342774,282.0727360332693
t5,covariate_winsorized_dml,-0.013869413224124591,0.2842629353572289,0.95,0.16678085315219718,0.09050722684209002,273.9737301239254
t5,standard_dml,-0.0032336917595051085,0.28561163779053494,1.0,0.16580488933493837,0.08990062828092146,275.46574230012743
