estimator,theta,se,ci_low,ci_high,J_hat,score_sd,top1_share,top05_share,ess,tau,q,bias_proxy,notes,true_theta,bias,rmse_component,covered,tail,contamination,weak_overlap,nonlinear,rep
standard_dml,0.43826042961156836,0.054641341992696706,0.33116536723894674,0.54535549198419,-0.2155479698265035,0.45615340742381894,0.04882726570192041,0.025294781880438887,812.2177861762877,,,,Standard orthogonal-score DML.,0.5,-0.06173957038843164,0.003811774551748105,1,normal,0.0,False,False,1
outcome_winsorized_dml,0.4331919831268963,0.05421001676662869,0.32694230266299157,0.539441663590801,-0.2155479698265035,0.45255264535605944,0.04793085668679904,0.024264787454211723,815.8334193362073,,,,Standard orthogonal-score DML.,0.5,-0.06680801687310373,0.004463311118516912,1,normal,0.0,False,False,1
covariate_winsorized_dml,0.4402873712845481,0.0547710549285019,0.33293807622941934,0.5476366663396768,-0.2154844583958521,0.4571015436431582,0.0487937469863256,0.02525373432866076,813.9626148797722,,,,Standard orthogonal-score DML.,0.5,-0.05971262871545191,0.003565598028109412,1,normal,0.0,False,False,1
score_clipped_dml_q0.95,0.45016903397270075,0.05523237028505321,0.34191557743321616,0.5584224905121853,-0.19542347195230142,0.4180382640618578,0.029658846529759555,0.013840795047221126,889.1416558708697,0.9542569427360843,0.95,0.013755074356823613,Clipped-score DML using empirical preliminary-score quantile.,0.5,-0.04983096602729925,0.002483125175213852,1,normal,0.0,False,False,1
score_clipped_dml_q0.97,0.4438251969526446,0.05518595007293052,0.3356627223570752,0.551987671548214,-0.20286140856908239,0.433584341744476,0.0342557665601674,0.01598602439474479,859.8715396072606,1.1241742287817376,0.97,0.007350217255366178,Clipped-score DML using empirical preliminary-score quantile.,0.5,-0.05617480304735539,0.003155608497409169,1,normal,0.0,False,False,1
score_clipped_dml_q0.99,0.4396915680896849,0.05487358092737704,0.3321413257692819,0.5472418104100879,-0.21096151851302794,0.4483448387412854,0.04268958286037427,0.019921805334841326,829.9916702458208,1.4232477635011347,0.99,0.002151491955795093,Clipped-score DML using empirical preliminary-score quantile.,0.5,-0.0603084319103151,0.0036371069594811124,1,normal,0.0,False,False,1
score_clipped_dml_q0.995,0.43894735215786834,0.054648559671257486,0.3318381433952156,0.546056560920521,-0.21290262149860364,0.4506147035150646,0.04468936692952066,0.02108826232491281,825.10389855504,1.5097437829575182,0.995,0.0014541364826835819,Clipped-score DML using empirical preliminary-score quantile.,0.5,-0.06105264784213166,0.003727425808535343,1,normal,0.0,False,False,1
score_clipped_dml_q0.999,0.438359569933539,0.054748362808400765,0.3310547506165413,0.5456643892505366,-0.21477596811975508,0.4554098833136115,0.04835482533798043,0.02481045237906844,814.0619736258391,1.9694394534137822,0.999,0.00016670689676144098,Clipped-score DML using empirical preliminary-score quantile.,0.5,-0.06164043006646103,0.0037995426187782725,1,normal,0.0,False,False,1
standard_dml,0.5397331392232801,0.05401984376691887,0.4338561909896386,0.6456100874569216,-0.21391134688869473,0.4475409460596074,0.048085217732527163,0.02493503293433751,823.3314468151626,,,,Standard orthogonal-score DML.,0.5,0.039733139223280145,0.0015787223525365632,1,normal,0.0,False,False,2
outcome_winsorized_dml,0.5342741417980469,0.05380355396658871,0.42882111378327586,0.639727169812818,-0.21391134688869473,0.4457490389544987,0.04755207766742835,0.02453716805630243,823.6862101084405,,,,Standard orthogonal-score DML.,0.5,0.03427414179804689,0.0011747167959926246,1,normal,0.0,False,False,2
covariate_winsorized_dml,0.5410537594576394,0.05390865427459454,0.4353947386244129,0.646712780290866,-0.21394952094902123,0.44669947141717786,0.04808027477500926,0.02489779116549836,822.6542398652376,,,,Standard orthogonal-score DML.,0.5,0.04105375945763945,0.0016854111656057205,1,normal,0.0,False,False,2
score_clipped_dml_q0.95,0.5490564159606272,0.05528365133125111,0.44070245041750516,0.6574103815037491,-0.19373287509516796,0.4148066139498126,0.03032571621917418,0.014152000902281279,891.9533631435121,0.9696999431069113,0.95,0.011750774335573647,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.04905641596062715,0.0024065319469020745,1,normal,0.0,False,False,2
score_clipped_dml_q0.97,0.5479914743808896,0.054656272978004974,0.44086714781481007,0.6551158009469691,-0.20099935239470249,0.4254811275000018,0.03349713114575698,0.01563199453468659,871.1388018485438,1.0857782844531663,0.97,0.0073588891759004725,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.047991474380889576,0.0023031816132515807,1,normal,0.0,False,False,2
score_clipped_dml_q0.99,0.5428961061776156,0.054256237302618894,0.436555835127824,0.6492363772274072,-0.20866094228505713,0.4384665484616244,0.040467981284961166,0.018885057932981883,844.280966218598,1.3307640583630913,0.99,0.0026306327897408577,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.042896106177615634,0.0018400759252012741,1,normal,0.0,False,False,2
score_clipped_dml_q0.995,0.5403213907749521,0.05418158667731874,0.43412743226217215,0.646515349287732,-0.2110832956606175,0.4429464391256389,0.04453823341972942,0.021390660116952943,834.286533726625,1.5136860031606623,0.995,0.0012309646927502894,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.040321390774952115,0.0016258145540263935,1,normal,0.0,False,False,2
score_clipped_dml_q0.999,0.5400461618443175,0.05421922301030006,0.43377843747438405,0.646313886214251,-0.21298069998007502,0.44723848659525317,0.047878208202515884,0.024721672412601106,824.0949403349381,1.8298282689911871,0.999,7.2597077811187e-05,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.04004616184431753,0.001603695078461273,1,normal,0.0,False,False,2
standard_dml,0.47939120643031585,0.057706932816049716,0.36628769645258585,0.5924947164080459,-0.21851424043361134,0.48837493470249077,0.04389734025829702,0.022349057992512498,843.3233697802997,,,,Standard orthogonal-score DML.,0.5,-0.020608793569684147,0.0004247223723978547,1,normal,0.0,False,False,3
outcome_winsorized_dml,0.4743691550349104,0.05752513645731945,0.3616219593728122,0.5871163506970085,-0.21851424043361134,0.4868363884569806,0.044292105530792554,0.02255534715253562,840.3943272403571,,,,Standard orthogonal-score DML.,0.5,-0.025630844965089605,0.0006569402136244592,1,normal,0.0,False,False,3
covariate_winsorized_dml,0.4878300593934034,0.057771293704152765,0.3746004043929784,0.6010597143938284,-0.21899718625856887,0.4900002002377291,0.043771037303752265,0.022330903722143795,846.329243118915,,,,Standard orthogonal-score DML.,0.5,-0.012169940606596596,0.00014810745436808872,1,normal,0.0,False,False,3
score_clipped_dml_q0.95,0.5009251016208582,0.059656954037565234,0.383999620279869,0.6178505829618475,-0.19583130404478527,0.4524689907054361,0.028486272987916658,0.013293594061027774,908.8530006094979,1.0029535796925815,0.95,0.013754838483480039,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.0009251016208582374,8.558130089145381e-07,1,normal,0.0,False,False,3
score_clipped_dml_q0.97,0.4906388150915278,0.059349136330006706,0.37431664537115694,0.6069609848118986,-0.20425013300635916,0.46948571316812543,0.032874537917655655,0.015341451028239304,879.4842028047436,1.1814235316915707,0.97,0.0065953058470649755,Clipped-score DML using empirical preliminary-score quantile.,0.5,-0.009361184908472209,8.763178289060784e-05,1,normal,0.0,False,False,3
score_clipped_dml_q0.99,0.48236320833605795,0.0584000609035847,0.3679011922700863,0.5968252244020297,-0.21299591896457432,0.4817594162363316,0.03856277983400475,0.017995963922535548,856.9306573773027,1.4037214694171911,0.99,0.0020321311740803772,Clipped-score DML using empirical preliminary-score quantile.,0.5,-0.017636791663942053,0.0003110564201972959,1,normal,0.0,False,False,3
score_clipped_dml_q0.995,0.47932258351409546,0.058062845130539754,0.3655214982183107,0.5931236688098802,-0.2157057186669912,0.4850713242414705,0.04141415810454022,0.019810364046031217,850.4290451655969,1.5499578088276573,0.995,0.0009482012595612149,Clipped-score DML using empirical preliminary-score quantile.,0.5,-0.020677416485904543,0.00042755555253155695,1,normal,0.0,False,False,3
score_clipped_dml_q0.999,0.47893459410345846,0.05782615125272483,0.365597420283552,0.5922717679233649,-0.21786719397457982,0.48793475929031616,0.0436019733255469,0.022048803662290128,844.341807807181,1.83649196561809,0.999,0.00011174689667618172,Clipped-score DML using empirical preliminary-score quantile.,0.5,-0.021065405896541545,0.00044375132558604726,1,normal,0.0,False,False,3
standard_dml,0.540851391100028,0.05598292852822463,0.4311268674356278,0.6505759147644282,-0.21468864603999854,0.465489961589221,0.04653557022569413,0.023954550282221827,839.1029661958345,,,,Standard orthogonal-score DML.,0.5,0.040851391100028,0.001668836154807447,1,normal,0.0,False,False,4
outcome_winsorized_dml,0.5334969137155978,0.05574182418331443,0.42424494588373773,0.6427488815474579,-0.21468864603999854,0.4634852137991039,0.04660680662012268,0.02404837833644339,838.3250639323012,,,,Standard orthogonal-score DML.,0.5,0.03349691371559782,0.0011220432284702053,1,normal,0.0,False,False,4
covariate_winsorized_dml,0.5423567684370844,0.05595220011087009,0.43269247136400096,0.6520210655101677,-0.21476878030237212,0.4654081117394868,0.046572634611926976,0.024010970585013346,839.3251468468711,,,,Standard orthogonal-score DML.,0.5,0.04235676843708436,0.0017940958324327856,1,normal,0.0,False,False,4
score_clipped_dml_q0.95,0.5384342017143217,0.057051623099290565,0.42661507518015873,0.6502533282484846,-0.19473405315991363,0.4302843368674384,0.028504842959708777,0.013302260047864096,909.184662837023,0.9545744321670445,0.95,0.013168582275589072,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.03843420171432166,0.001477187861417166,1,normal,0.0,False,False,4
score_clipped_dml_q0.97,0.5381366820024711,0.05656769769101126,0.42726603183973944,0.6490073321652028,-0.2018692369282012,0.44226673394497684,0.03196857438611371,0.01491866804685306,887.222502622157,1.0870095894346659,0.97,0.008024288529714506,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.03813668200247111,0.001454406514157604,1,normal,0.0,False,False,4
score_clipped_dml_q0.99,0.5393423521865032,0.05613655080299493,0.42931673439633006,0.6493679699766763,-0.20998999548447486,0.4565516939742963,0.03918321293639509,0.01828549937031771,859.0039240969584,1.3533095111226934,0.99,0.0026630830405741167,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.03934235218650317,0.0015478206755668508,1,normal,0.0,False,False,4
score_clipped_dml_q0.995,0.5407559383065653,0.05619178514712579,0.430622063191186,0.6508898134219446,-0.21189463840642017,0.46114597962915466,0.04324697864241355,0.020622608187879223,849.1199927871627,1.5327429493874776,0.995,0.0011963091553607883,Clipped-score DML using empirical preliminary-score quantile.,0.5,0.04075593830656532,0.0016610465072485585,1,normal,0.0,False,False,4
